название;имя_художника;стоимость;примерная_оценка;материал;размер;страна;период;стиль;жанр
Willow and Swallows;FENG ZIKAI;HKD 327,600;HKD 100,000 - 200,000;;29 x 34 cm;Китай;1898-1975;Traditional Chinese Style;Traditional Chinese Painting
Eldest Grandson Holding the Youngest Son;FENG ZIKAI;;HKD 180,000 - 280,000;;33.2 x 26.6 cm;Китай;1898-1975;Traditional Chinese Style;Traditional Chinese Painting
Butterflies Love Flowers;FENG ZIKAI;HKD 126,000;HKD 50,000 - 80,000;;34.6 x 27.6 cm;Китай;1898-1975;Traditional Chinese Style;Traditional Chinese Painting
Celebrating Harvest;FENG ZIKAI;HKD 63,000;HKD 60,000 - 120,000;;27 x 35.3 cm;Китай;1898-1975;Traditional Chinese Style;Traditional Chinese Painting
Wu Gorge;FANG ZHAOLING;HKD 75,600;HKD 60,000 - 80,000;;48.7 x 137.5 cm;Китай;1914-2006;Traditional Chinese Style;Traditional Chinese Painting
Lucky Day;SHI HU;HKD 315,000;HKD 120,000 - 200,000;;153 x 95.5 cm;Китай;1942-2023;Traditional Chinese Style;Traditional Chinese Painting
Village;CHEN QIKUAN;HKD 378,000;HKD 100,000 - 200,000;;119.5 x 23 cm;Китай;CHEN CHI-KWAN, 1921-2007;Traditional Chinese Style;Traditional Chinese Painting
Misty and Snowy Landscape;SU CHUNG-MING;HKD 88,200;HKD 70,000 - 100,000;;69 x 136.3 cm;Китай;B. 1965;Traditional Chinese Style;Traditional Chinese Painting
Fragrant Breeze Across the Wilderness Ford;ZHU XIAOQING;HKD 107,100;HKD 80,000 - 150,000;;34.6 x 92.1 cm;Китай;B. 1986;Traditional Chinese Style;Traditional Chinese Painting
Let Your Dreams Lead You;SUN HAO;HKD 163,800;HKD 120,000 - 180,000;;123 x 96 cm;Китай;B. 1980;Traditional Chinese Style;Traditional Chinese Painting
Mountain Peaks on a Clear Day;TAI XIANGZHOU;HKD 504,000;HKD 500,000 - 800,000;;45.2 x 292.3 cm;Китай;B. 1968;Traditional Chinese Style;Traditional Chinese Painting
Landscape;LI HUAYI;;HKD 2,400,000 - 3,500,000;;178.5 x 93.5 cm;Китай;B. 1948;Traditional Chinese Style;Traditional Chinese Painting
Pine Trees in the Mountains;LI XIONGCAI;HKD 529,200;HKD 400,000 - 600,000;;66.7 x 132.8 cm;Китай;1910-2001;Traditional Chinese Style;Traditional Chinese Painting
A Farm Girl;GUAN SHANYUE;HKD 693,000;HKD 300,000 - 500,000;;101 x 55 cm;Китай;1912-2000;Traditional Chinese Style;Traditional Chinese Painting
Pine and Waterfall;LI XIONGCAI;;HKD 250,000 - 450,000;;67.5 x 136 cm;Китай;1910-2001;Traditional Chinese Style;Traditional Chinese Painting
Gladiolus and Bees;ZHAO SHAO'ANG;HKD 201,600;HKD 80,000 - 120,000;;83.5 x 40.5 cm;Китай;1905-1998;Traditional Chinese Style;Traditional Chinese Painting
Two Egrets in Lotus Pond;ZHAO SHAO’ANG;HKD 201,600;HKD 120,000 - 180,000;;104.3 x 59.5 cm;Китай;1905-1998;Traditional Chinese Style;Traditional Chinese Painting
Tigers Den;YANG SHANSHEN;HKD 630,000;HKD 400,000 - 800,000;;154 x 76.3 cm;Китай;1913-2004;Traditional Chinese Style;Traditional Chinese Painting
Skulls / Flying Fish;GAO JIANFU;HKD 151,200;HKD 120,000 - 180,000;;34.6 x 47.6 cm;Китай;1879-1951;Traditional Chinese Style;Traditional Chinese Painting
Longevity Crane;YANG SHANSHEN;HKD 75,600;HKD 60,000 - 80,000;;140 x 59.8 cm;Китай;1913-2004;Traditional Chinese Style;Traditional Chinese Painting
Birds on Branches;ZHAO SHAO'ANG;HKD 60,480;HKD 60,000 - 80,000;;57.5 x 7 cm;Китай;1905-1998;Traditional Chinese Style;Traditional Chinese Painting
Goat;YANG SHANSHEN;HKD 113,400;HKD 60,000 - 80,000;;50 x 54 cm;Китай;1913-2004;Traditional Chinese Style;Traditional Chinese Painting
Rooster;YANG SHANSHEN;;HKD 50,000 - 80,000;;92 x 39 cm;Китай;1913-2004;Traditional Chinese Style;Traditional Chinese Painting
Flying Eagle;ZHAO SHAO’ANG;;HKD 80,000 - 150,000;;101 x 46.5 cm;Китай;1905-1998;Traditional Chinese Style;Traditional Chinese Painting
Maple Leaves and Birds;ZHAO SHAO’ANG;HKD 107,100;HKD 60,000 - 80,000;;46 x 96.3 cm;Китай;1905-1998;Traditional Chinese Style;Traditional Chinese Painting
Lady Holding Mirror;LIN FENGMIAN;HKD 2,268,000;HKD 1,800,000 - 2,800,000;;68 x 68.4 cm;Китай;1900-1991;Traditional Chinese Style;Traditional Chinese Painting
Three Friends in Company in Wintry Times;WU GUANZHONG;HKD 8,820,000;HKD 5,000,000 - 7,000,000;;68.5 x 137.1 cm;Китай;1919-2010;Traditional Chinese Style;Traditional Chinese Painting
Scene of Jiangnan;WU GUANZHONG;HKD 882,000;HKD 800,000 - 1,200,000;;45.2 x 87.3 cm;Китай;1919-2010;Traditional Chinese Style;Traditional Chinese Painting
Farewell My Concubine;LIN FENGMIAN;HKD 5,670,000;HKD 2,600,000 - 3,600,000;;65.4 x 64 cm;Китай;1900-1991;Traditional Chinese Style;Traditional Chinese Painting
Opera Figure;LIN FENGMIAN;HKD 441,000;HKD 400,000 - 600,000;;35.1 x 22.2 cm;Китай;1900-1991;Traditional Chinese Style;Traditional Chinese Painting
Sailing on Riverbank;LIN FENGMIAN;;HKD 900,000 - 1,200,000;;67.8 x 67.9 cm;Китай;1900-1991;Traditional Chinese Style;Traditional Chinese Painting
Mountains of Li River;BAI XUESHI;HKD 352,800;HKD 260,000 - 400,000;;33.7 x 277.1 cm;Китай;1915-2011;Traditional Chinese Style;Traditional Chinese Painting
Pine and Clouds of Mount Huang;BAI XUESHI;HKD 226,800;HKD 120,000 - 160,000;;49.7 x 136.7 cm;Китай;1915-2011;Traditional Chinese Style;Traditional Chinese Painting
Evergreen in Jinggang Mountain;SONG WENZHI;;HKD 200,000 - 300,000;;71.3 x 180 cm;Китай;1919-1999;Traditional Chinese Style;Traditional Chinese Painting
Indian Dancer;YE QIANYU;HKD 81,900;HKD 80,000 - 120,000;;68.5 x 45 cm;Китай;1907-1995;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy;LI KERAN;HKD 277,200;HKD 120,000 - 220,000;;97 x 44.5 cm;Китай;1907-1989;Traditional Chinese Style;Traditional Chinese Painting
Five Buffaloes;LI KERAN;HKD 1,008,000;HKD 1,000,000 - 1,500,000;;66 x 98 cm;Китай;1907-1989;Traditional Chinese Style;Traditional Chinese Painting
Peonies;SHI LU;HKD 945,000;HKD 300,000 - 500,000;;130.3 x 70.6 cm;Китай;1919-1982;Traditional Chinese Style;Traditional Chinese Painting
Girl Picking Mulberry;SHI LU;HKD 1,764,000;HKD 500,000 - 800,000;;65 x 50.2 cm;Китай;1919-1982;Traditional Chinese Style;Traditional Chinese Painting
The Celebration;HUANG ZHOU;HKD 3,024,000;HKD 2,000,000 - 3,000,000;;63.5 x 141.5 cm;Китай;1925-1997;Traditional Chinese Style;Traditional Chinese Painting
Conquering the Yellow River;HE HAIXIA;HKD 504,000;HKD 500,000 - 700,000;;136.4 x 68.7 cm;Китай;1908-1998;Traditional Chinese Style;Traditional Chinese Painting
Doctor Visiting Her Patients;HUANG ZHOU;HKD 441,000;HKD 350,000 - 450,000;;97 x 61.8 cm;Китай;1925-1997;Traditional Chinese Style;Traditional Chinese Painting
Chicks;QI BAISHI;;HKD 400,000 - 600,000;;62.5 x 32.6 cm;Китай;1863-1957;Traditional Chinese Style;Traditional Chinese Painting
Lotus and Frogs;QI BAISHI;;HKD 450,000 - 600,000;;67.9 x 30.9 cm;Китай;1863-1957;Traditional Chinese Style;Traditional Chinese Painting
Autumn Delights;QI BAISHI;;HKD 600,000 - 800,000;;101.5 x 34.2 cm;Китай;1863-1957;Traditional Chinese Style;Traditional Chinese Painting
Blessings from the Sky;QI BAISHI;HKD 2,016,000;HKD 1,500,000 - 3,000,000;;128 x 48.3 cm;Китай;1863-1957;Traditional Chinese Style;Traditional Chinese Painting
Orchid;XU BEIHONG;;HKD 200,000 - 300,000;;35.5 x 14 cm;Китай;1895-1953;Traditional Chinese Style;Traditional Chinese Painting
Rooster;XU BEIHONG;HKD 1,512,000;HKD 500,000 - 800,000;;84 x 42 cm;Китай;1895-1953;Traditional Chinese Style;Traditional Chinese Painting
Fragrance of Spring Flowers;HUANG YONGYU;HKD 567,000;HKD 400,000 - 600,000;;136.5 x 69 cm;Китай;1924-2023;Traditional Chinese Style;Traditional Chinese Painting
Red Lotus;HUANG YONGYU;HKD 189,000;HKD 200,000 - 300,000;;90 x 96.5 cm;Китай;1924-2023;Traditional Chinese Style;Traditional Chinese Painting
Drunken Rooster;HUANG YONGYU;HKD 189,000;HKD 100,000 - 200,000;;67 x 68.5 cm;Китай;1924-2023;Traditional Chinese Style;Traditional Chinese Painting
Letter to Pok Shau-fu;ZHANG DAQIAN;HKD 176,400;HKD 100,000 - 200,000;;33.5 x 68 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Sailing Across Gorge;ZHANG DAQIAN;HKD 882,000;HKD 500,000 - 800,000;;91 x 48.5 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Scholar and Chrysanthemum;ZHANG DAQIAN;;HKD 600,000 - 800,000;;99.6 x 55.1 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Cat and Butterfly;ZHANG DAQIAN;HKD 504,000;HKD 500,000 - 700,000;;69.2 x 34.8 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Scholar by a Lush Tree;ZHANG DAQIAN;HKD 3,528,000;HKD 3,200,000 - 5,000,000;;137.4 x 69.5 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Bamboo and Orchid;ZHANG DAQIAN;HKD 504,000;HKD 350,000 - 550,000;;87.6 x 43.5 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Peonies;ZHANG DAQIAN;;HKD 400,000 - 600,000;;96.5 x 48.5 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Ink Lotus;ZHANG DAQIAN;HKD 1,260,000;HKD 1,200,000 - 1,800,000;;135.4 x 69.5 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Lake and Mountains in Spring;ZHANG DAQIAN;HKD 2,268,000;HKD 1,500,000 - 2,500,000;;44.6 x 74.9 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Scholar under Willow;ZHANG DAQIAN;;HKD 1,500,000 - 2,500,000;;90.5 x 45.3 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Bamboo, Plum Blossoms and Birds;XIE ZHILIU;HKD 252,000;HKD 200,000 - 400,000;;121.5 x 25.5 cm;Китай;1910-1997;Traditional Chinese Style;Traditional Chinese Painting
Lady in the Song Style;XIE ZHILIU;HKD 630,000;HKD 500,000 - 800,000;;83 x 49.5 cm;Китай;1910-1997;Traditional Chinese Style;Traditional Chinese Painting
Seven-character Calligraphic Couplet in Cursive Script;PU RU;HKD 56,700;HKD 50,000 - 70,000;;90 x 21.5 cm;Китай;1896-1963;Traditional Chinese Style;Traditional Chinese Painting
Amitayus Buddha;PU RU;HKD 277,200;HKD 150,000 - 250,000;;88.8 x 45.3 cm;Китай;1896-1963;Traditional Chinese Style;Traditional Chinese Painting
Flower in a Vase;PU RU;HKD 1,512,000;HKD 500,000 - 700,000;;77.1 x 37.4 cm;Китай;1896-1963;Traditional Chinese Style;Traditional Chinese Painting
Scholar under a Banana Tree;ZHANG DAQIAN;HKD 604,800;HKD 400,000 - 600,000;;132.5 x 67 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Journey in the Mountains;PU RU;HKD 138,600;HKD 80,000 - 120,000;;62.5 x 27.6 cm;Китай;1896-1963;Traditional Chinese Style;Traditional Chinese Painting
Horse and Groom;PU RU;HKD 882,000;HKD 150,000 - 250,000;;30 x 17.5 cm;Китай;1896-1963;Traditional Chinese Style;Traditional Chinese Painting
Landscapes in Four Seasons;HUANG JUNBI;HKD 327,600;HKD 160,000 - 220,000;;113.8 x 25.7 cm;Китай;1898-1991;Traditional Chinese Style;Traditional Chinese Painting
Letter from Chiang Kai-Shek to K. C. Wu;CHIANG KAI-SHEK;HKD 113,400;HKD 100,000 - 200,000;;30 x 20.5 cm;Китай;1887-1975;Traditional Chinese Style;Traditional Chinese Painting
Five-character Self-composed Poem in Running Script;WANG JINGWEI;HKD 107,100;HKD 60,000 - 80,000;;122.8 x 40.2 cm;Китай;1883-1944;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy in Standard Script;SUN WEN;HKD 1,512,000;HKD 260,000 - 300,000;;27.5 x 79.5 cm;Китай;1866-1925;Traditional Chinese Style;Traditional Chinese Painting
Seven-character Self-composed Poem in Running Script;KANG YOUWEI;HKD 75,600;HKD 50,000 - 70,000;;80 x 42.2 cm;Китай;1858-1927;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy in Regular Script;LIANG QICHAO;HKD 441,000;HKD 80,000 - 120,000;;68 x 30.2 cm;Китай;1873-1929;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy;KANG YOUWEI;;HKD 60,000 - 80,000;;19 x 120.2 cm;Китай;1858-1927;Traditional Chinese Style;Traditional Chinese Painting
Landscape;RAO ZONGYI;HKD 81,900;HKD 60,000 - 80,000;;18 x 133.4 cm;Китай;1917-2018;Traditional Chinese Style;Traditional Chinese Painting
Five-character Calligraphic Couplet in Seal Script;RAO ZONGYI;HKD 302,400;HKD 50,000 - 70,000;;228.8 x 51 cm;Китай;1917-2018;Traditional Chinese Style;Traditional Chinese Painting
Five-character Poem by Su Shi in Regular Script;CHEN YINKE;HKD 201,600;HKD 60,000 - 80,000;;122.3 x 40.2 cm;Китай;1890-1969;Traditional Chinese Style;Traditional Chinese Painting
Bamboo and Rock;WU CHANGSHUO;HKD 327,600;HKD 200,000 - 300,000;;138 x 48.5 cm;Китай;1844-1927;Traditional Chinese Style;Traditional Chinese Painting
Ink Lotus;WU CHANGSHUO;HKD 138,600;HKD 100,000 - 200,000;;78 x 38.5 cm;Китай;1844-1927;Traditional Chinese Style;Traditional Chinese Painting
Wisteria and Rocks;WU CHANGSHUO;HKD 1,764,000;HKD 400,000 - 600,000;;285.3 x 129.5 cm;Китай;1844-1927;Traditional Chinese Style;Traditional Chinese Painting
Strolling Among Pine Trees;TANG YUN;HKD 504,000;HKD 100,000 - 200,000;;130 x 69 cm;Китай;1910-1993;Traditional Chinese Style;Traditional Chinese Painting
Mount Huang;LIU HAISU;HKD 302,400;HKD 300,000 - 500,000;;136.3 x 68.4 cm;Китай;1896-1994;Traditional Chinese Style;Traditional Chinese Painting
Peony;ZHU QIZHAN;HKD 201,600;HKD 80,000 - 150,000;;68 x 68 cm;Китай;1892-1996;Traditional Chinese Style;Traditional Chinese Painting
Misty Mount Huang;LIU HAISU;HKD 189,000;HKD 300,000 - 500,000;;68.6 x 136.3 cm;Китай;1896-1994;Traditional Chinese Style;Traditional Chinese Painting
Red Plum Blossom;LIU HAISU;HKD 277,200;HKD 200,000 - 300,000;;178 x 79 cm;Китай;1896-1994;Traditional Chinese Style;Traditional Chinese Painting
Night at Typhoon Shelter;DENG FEN;HKD 56,700;HKD 40,000 - 60,000;;18 x 50.8 cm;Китай;1894-1964;Traditional Chinese Style;Traditional Chinese Painting
Tropical Fish;PU RU;HKD 100,800;HKD 60,000 - 80,000;;18.5 x 52 cm;Китай;1896-1963;Traditional Chinese Style;Traditional Chinese Painting
Lotus / Calligraphy in Running Script;ZHANG DAQIAN;HKD 201,600;HKD 180,000 - 280,000;;;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Various Subjects;YU FEI'AN;HKD 945,000;HKD 200,000 - 300,000;;24.5 x 67 cm;Китай;1888-1959;Traditional Chinese Style;Traditional Chinese Painting
Flowers and Rock / Calligraphy;WU HUFAN;HKD 100,800;HKD 80,000 - 120,000;;19.5 x 53.5 cm;Китай;1894-1968;Traditional Chinese Style;Traditional Chinese Painting
Longevity;QI BAISHI;;HKD 100,000 - 150,000;;20.5 x 54.5 cm;Китай;1863-1957;Traditional Chinese Style;Traditional Chinese Painting
Flowers and insects;QI BAISHI;HKD 478,800;HKD 400,000 - 600,000;;18.5 x 52 cm;Китай;1863-1957;Traditional Chinese Style;Traditional Chinese Painting
Sailing / Plum Blossoms;LU YANSHAO;HKD 1,071,000;HKD 1,200,000 - 1,800,000;;18 x 65.6 cm;Китай;1909-1993;Traditional Chinese Style;Traditional Chinese Painting
Landscapes / Calligraphy;QI KUN;HKD 69,300;HKD 50,000 - 70,000;;19 x 49 cm;Китай;1901-1944;Traditional Chinese Style;Traditional Chinese Painting
Boating in Autumn River / Calligraphy;PU RU;HKD 277,200;HKD 180,000 - 280,000;;17.6 x 43.5 cm;Китай;1896-1963;Traditional Chinese Style;Traditional Chinese Painting
Scholars by Riverside / Calligraphy;ZHU MEICUN;HKD 60,480;HKD 30,000 - 50,000;;18.3 x 46.5 cm;Китай;1911-1993;Traditional Chinese Style;Traditional Chinese Painting
Landscape / Calligraphy;XIE ZHILIU;;HKD 300,000 - 500,000;;19.5 x 49.3 cm;Китай;1910-1997;Traditional Chinese Style;Traditional Chinese Painting
Landscape;HUANG BINHONG;;HKD 1,000,000 - 2,000,000;;70.9 x 32.7 cm;Китай;1864-1955;Traditional Chinese Style;Traditional Chinese Painting
Autumn River;XIE ZHILIU;HKD 693,000;HKD 500,000 - 700,000;;39.2 x 27.4 cm;Китай;1910-1997;Traditional Chinese Style;Traditional Chinese Painting
Lotus;ZHANG DAQIAN;HKD 1,386,000;HKD 1,500,000 - 2,500,000;;135.7 x 69.5 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
The Canglong Ridge of the Hua Mountains;WU GUANZHONG;HKD 277,200;HKD 300,000 - 500,000;;39.5 x 28.3 cm;Китай;1919-2010;Traditional Chinese Style;Traditional Chinese Painting
Huangshan - Fairy Points the Way;WU GUANZHONG;HKD 1,071,000;HKD 1,200,000 - 1,800,000;;71.1 x 47.2 cm;Китай;1919-2010;Traditional Chinese Style;Traditional Chinese Painting
Chrysanthemums;LIN FENGMIAN;;HKD 2,600,000 - 3,500,000;;67 x 63 cm;Китай;1900-1991;Traditional Chinese Style;Traditional Chinese Painting
Lady Playing Qin;LIN FENGMIAN;HKD 1,260,000;HKD 1,200,000 - 2,200,000;;68 x 65.1 cm;Китай;1900-1991;Traditional Chinese Style;Traditional Chinese Painting
Small Village in the Forest;LIN FENGMIAN;HKD 3,150,000;HKD 1,500,000 - 2,500,000;;67.7 x 68.6 cm;Китай;1900-1991;Traditional Chinese Style;Traditional Chinese Painting
Sunrise over Guilin;WU GUANZHONG;HKD 12,475,000;HKD 4,500,000 - 6,500,000;;35.3 x 54.1 cm;Китай;1919-2010;Traditional Chinese Style;Traditional Chinese Painting
Scenery at the Factory;GUAN LIANG;;HKD 300,000 - 500,000;;28 x 35.5 cm;Китай;1900-1986;Traditional Chinese Style;Traditional Chinese Painting
Fish IV;DING YANYONG;HKD 1,386,000;HKD 500,000 - 700,000;;29.7 x 39.8 cm;Китай;1902-1978;Traditional Chinese Style;Traditional Chinese Painting
Escape from Hong Kong;YE QIANYU;HKD 730,800;HKD 400,000 - 600,000;;27.5 x 22 cm;Китай;1907-1995;Traditional Chinese Style;Traditional Chinese Painting
Banana Plant, Rock, Bird and Bamboo;ZHANG DAQIAN;HKD 403,200;HKD 300,000 - 500,000;;122.2 x 45.2 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Plantain Lily;ZHANG DAQIAN;HKD 214,200;HKD 80,000 - 150,000;;43.8 x 33 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Mount Huang;ZHANG SHANZI;HKD 88,200;HKD 60,000 - 80,000;;65.5 x 32.5 cm;Китай;1882-1940;Traditional Chinese Style;Traditional Chinese Painting
Five Colour Lotuses;YU FEI'AN;HKD 2,016,000;HKD 1,000,000 - 2,000,000;;133.2 x 69.5 cm;Китай;1888-1959;Traditional Chinese Style;Traditional Chinese Painting
Visiting Friends;CHEN SHAOMEI;HKD 403,200;HKD 200,000 - 300,000;;91.6 x 9.4 cm;Китай;1909-1954;Traditional Chinese Style;Traditional Chinese Painting
Verdant Mountains;HUANG BINHONG;HKD 1,512,000;HKD 1,000,000 - 2,000,000;;59.5 x 47 cm;Китай;1864-1955;Traditional Chinese Style;Traditional Chinese Painting
Landscapes of Anhui;HUANG BINHONG;HKD 478,800;HKD 400,000 - 600,000;;23.2 x 21.5 cm;Китай;1864-1955;Traditional Chinese Style;Traditional Chinese Painting
Landscapes after Old Masters;WU HUFAN;HKD 478,800;HKD 80,000 - 100,000;;22.8 x 30 cm;Китай;1894-1968;Traditional Chinese Style;Traditional Chinese Painting
Calligraphy;PAN TIANSHOU;HKD 151,200;HKD 80,000 - 120,000;;24.4 x 32.2 cm;Китай;1897-1971;Traditional Chinese Style;Traditional Chinese Painting
Landscape of Mount Yandang;LU YANSHAO;HKD 945,000;HKD 700,000 - 1,000,000;;96.5 x 35 cm;Китай;1909-1993;Traditional Chinese Style;Traditional Chinese Painting
Opera Figures;GUAN LIANG;HKD 113,400;HKD 60,000 - 80,000;;33.3 x 69 cm;Китай;1900-1986;Traditional Chinese Style;Traditional Chinese Painting
Dancing Lady;PANG XUNQIN;HKD 94,500;HKD 60,000 - 80,000;;32.8 x 38 cm;Китай;1906-1985;Traditional Chinese Style;Traditional Chinese Painting
Landscape;CHEN WEN HSI;HKD 693,000;HKD 150,000 - 250,000;;176 x 95.6 cm;Китай;1906-1991;Traditional Chinese Style;Traditional Chinese Painting
Plum Blossoms;HUANG YONGYU;HKD 378,000;HKD 100,000 - 200,000;;201.5 x 38.5 cm;Китай;1924-2023;Traditional Chinese Style;Traditional Chinese Painting
The Happy Prince in Retirement;HUANG YONGYU;HKD 1,260,000;HKD 1,000,000 - 1,500,000;;99 x 99 cm;Китай;1924-2023;Traditional Chinese Style;Traditional Chinese Painting
Moon Over Lake;HUANG YONGYU;;HKD 800,000 - 1,600,000;;144 x 150 cm;Китай;1924-2023;Traditional Chinese Style;Traditional Chinese Painting
Darwin;WEI XIAORONG;HKD 478,800;HKD 400,000 - 600,000;;69 x 34.5 cm;Китай;B. 1957;Traditional Chinese Style;Traditional Chinese Painting
Opera Figures;GUAN LIANG;HKD 214,200;HKD 100,000 - 200,000;;17.1 x 16.1 cm;Китай;1900-1986;Traditional Chinese Style;Traditional Chinese Painting
Flowers and Birds;WANG XUETAO;HKD 176,400;HKD 100,000 - 150,000;;36 x 26 cm;Китай;1903-1984;Traditional Chinese Style;Traditional Chinese Painting
Landscapes;QI GONG;HKD 151,200;HKD 150,000 - 200,000;;31 x 20 cm;Китай;1912-2005;Traditional Chinese Style;Traditional Chinese Painting
Viewing Mountains;LI KERAN;HKD 630,000;HKD 300,000 - 500,000;;51 x 33.5 cm;Китай;1907-1989;Traditional Chinese Style;Traditional Chinese Painting
Portrait of A Lady;JIANG ZHAOHE;HKD 504,000;HKD 400,000 - 600,000;;59 x 42.5 cm;Китай;1904-1986;Traditional Chinese Style;Traditional Chinese Painting
Six-character Calligraphic Couplet in Running Script;ZHANG DAQIAN;HKD 277,200;HKD 80,000 - 160,000;;100.1 x 19.1 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Five-characher Calligraphic Couplet in Seal Script;QI BAISHI;HKD 2,016,000;HKD 400,000 - 800,000;;135.5 x 33.7 cm;Китай;1863-1957;Traditional Chinese Style;Traditional Chinese Painting
Eight-character Calligraphic Couplet in Running Script;BAI JIAO;HKD 52,920;HKD 20,000 - 40,000;;138.4 x 22.1 cm;Китай;1907-1969;Traditional Chinese Style;Traditional Chinese Painting
Plum Blossoms, Bamboo and Rock;MEI LANFANG;HKD 69,300;HKD 10,000 - 20,000;;68 x 41 cm;Китай;1894-1961;Traditional Chinese Style;Traditional Chinese Painting
Versing in River;ZHANG DAQIAN;HKD 1,134,000;HKD 600,000 - 800,000;;32.4 x 68 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Eight-character Calligraphic Couplet in Clerical Script;TAI JINGNONG;HKD 40,320;HKD 30,000 - 50,000;;66.8 x 15.9 cm;Китай;1903-1990;Traditional Chinese Style;Traditional Chinese Painting
Landscape in the Style of Shitao;ZHANG DAQIAN;HKD 504,000;HKD 300,000 - 500,000;;133 x 51.2 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Boating under Cliff in the Style of Shitao;ZHANG DAQIAN;HKD 1,033,200;HKD 600,000 - 1,600,000;;151.5 x 71.3 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Calligraphic Couplet;ZHANG DAQIAN;;HKD 200,000 - 300,000;;137 x 35 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Landscape / Letter to Ruan Yicheng;ZHANG DAQIAN;;HKD 650,000 - 850,000;;39 x 30 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
Portrait of Bodhisattva;ZHANG DAQIAN;HKD 4,788,000;HKD 3,800,000 - 5,800,000;;112.2 x 65.2 cm;Китай;1899-1983;Traditional Chinese Style;Traditional Chinese Painting
