title,artist,material,material_group,width_cm,height_cm,area_cm2,country,period_raw,birth_year,death_year,period_mid_year,style,genre,estimate_low_eur,estimate_high_eur,estimate_mid_eur,sale_price_eur,price_category
Conte de pistils,FRANTIŠEK KUPKA,gouache,Gouache,27.0,21.8,588.6,Czech Republic,1871-1957,1871,1957,1914,Abstract Expressionism,Abstract,40000,60000,50000,163800,Premium
Composition abstraite,SERGE POLIAKOFF,oil on canvas,Oil,60.0,73.0,4380.0,Russia,1900-1969,1900,1969,1934,Abstract Expressionism,Abstract,100000,150000,125000,163800,Premium
Autoportrait à l'âne vert ou Variante de L'âme de la ville,MARC CHAGALL,Unknown,Unknown,27.8,25.8,717.24,Belarus,1887-1985,1887,1985,1936,Abstract Expressionism,Abstract,130000,180000,155000,214200,Premium
Sans titre,ZAO WOU-KI,Unknown,Unknown,104.5,103.5,10815.75,China,1920-2013,1920,2013,1966,Abstract Expressionism,Abstract,40000,60000,50000,47880,High
降魔 (Gouma),KAZUO SHIRAGA,oil on canvas,Oil,,,,Japan,1924-2008,1924,2008,1966,Abstract Expressionism,Abstract,400000,600000,500000,945000,Premium
Sans titre,CHU TEH-CHUN,oil on canvas,Oil,96.5,130.0,12545.0,China,1920-2014,1920,2014,1967,Abstract Expressionism,Abstract,350000,550000,450000,415800,Premium
Bruyère,ENRICO DONATI,oil on canvas,Oil,63.5,76.5,4857.75,Italy,1909-2008,1909,2008,1958,Abstract Expressionism,Abstract,40000,60000,50000,75600,Premium
Reflets,JACQUELINE LAMBA,oil on canvas,Oil,72.7,92.0,6688.4,France,1910-1993,1910,1993,1952,Abstract Expressionism,Abstract,15000,25000,20000,47880,High
Portrait de Ljuba Rosa Rizzoli,LEONOR FINI,oil on canvas,Oil,81.2,54.3,4409.16,Argentina,1907-1996,1907,1996,1952,Abstract Expressionism,Portrait,80000,120000,100000,95760,Premium
Pour les Ramié,PABLO PICASSO,Unknown,Unknown,26.5,26.3,696.95,Spain,1881-1973,1881,1973,1927,Abstract Expressionism,Abstract,6000,8000,7000,10710,Medium
Nu debout,HENRI MATISSE,Unknown,Unknown,66.6,25.5,1698.3,France,1869-1954,1869,1954,1912,Abstract Expressionism,Abstract,40000,60000,50000,30240,High
Portrait de Nézy,HENRI MATISSE,Unknown,Unknown,40.1,50.6,2029.06,France,1869-1954,1869,1954,1912,Abstract Expressionism,Abstract,60000,80000,70000,94500,Premium
Brustbild eines jungen Mannes,EGON SCHIELE,Unknown,Unknown,46.0,29.5,1357.0,Austria,1890-1918,1890,1918,1904,Abstract Expressionism,Abstract,70000,100000,85000,,
"Oiseau, étoile",JOAN MIRÓ,Unknown,Unknown,47.0,58.0,2726.0,Spain,1893-1983,1893,1983,1938,Abstract Expressionism,Abstract,50000,70000,60000,69300,Premium
Femmes,JOAN MIRÓ,gouache,Gouache,25.0,33.0,825.0,Spain,1893-1983,1893,1983,1938,Abstract Expressionism,Abstract,70000,100000,85000,151200,Premium
Peinture no. VIII,MICHEL PARMENTIER,acrylic,Acrylic,239.5,179.5,42990.25,France,1938-2000,1938,2000,1969,Abstract Expressionism,Abstract,20000,30000,25000,22680,High
Laissée,SIMON HANTAÏ,oil on canvas,Oil,154.4,130.2,20102.88,Hungary,1922-2008,1922,2008,1965,Abstract Expressionism,Abstract,200000,300000,250000,226800,Premium
"Tied-Up Torso, Ramatuelle, 1981",HELMUT NEWTON,Unknown,Unknown,49.3,48.0,2366.4,Germany,1920-2004,1920,2004,1962,Abstract Expressionism,Abstract,40000,60000,50000,50400,High
Portrait imaginaire de Goya,ANTONIO SAURA,oil on canvas,Oil,162.0,130.4,21124.8,Spain,1930-1998,1930,1998,1964,Abstract Expressionism,Abstract,80000,120000,100000,176400,Premium
"Hercule et Antée, copie d’après Pollaiolo",HENRI MATISSE,Unknown,Unknown,59.0,44.9,2649.1,France,1869-1954,1869,1954,1912,Abstract Expressionism,Abstract,30000,50000,40000,60480,Premium
Femme nue allongée et homme jouant de la flûte de Pan,PABLO PICASSO,Unknown,Unknown,24.2,31.7,767.14,Spain,1881-1973,1881,1973,1927,Abstract Expressionism,Abstract,25000,35000,30000,69300,Premium
Matière sur carton,ANTONI TÀPIES,Unknown,Unknown,46.0,55.0,2530.0,Spain,1923-2012,1923,2012,1968,Abstract Expressionism,Abstract,50000,70000,60000,163800,Premium
Le Lit,PAUL DELVAUX,gouache,Gouache,43.3,54.5,2359.85,Belgium,1897-1994,1897,1994,1946,Abstract Expressionism,Abstract,50000,70000,60000,69300,Premium
Site avec 6 personnages,JEAN DUBUFFET,Unknown,Unknown,50.4,68.2,3437.28,France,1901-1985,1901,1985,1943,Abstract Expressionism,Abstract,100000,150000,125000,163800,Premium
Sans titre,GÜNTHER FÖRG,acrylic,Acrylic,220.5,170.5,37595.25,Germany,1952-2013,1952,2013,1982,Abstract Expressionism,Abstract,80000,120000,100000,98280,Premium
Opus 124 CX,GÉRARD SCHNEIDER,oil on canvas,Oil,130.0,162.0,21060.0,Switzerland,1896-1986,1896,1986,1941,Abstract Expressionism,Abstract,60000,80000,70000,88200,Premium
T1976 - H11,HANS HARTUNG,acrylic,Acrylic,138.5,95.0,13157.5,Germany,1904-1989,1904,1989,1946,Abstract Expressionism,Abstract,60000,80000,70000,138600,Premium
Opus 90 D,GÉRARD SCHNEIDER,oil on canvas,Oil,100.0,81.0,8100.0,Switzerland,1896-1986,1896,1986,1941,Abstract Expressionism,Abstract,40000,60000,50000,27720,High
La ville brûlée,MARIA HELENA VIEIRA DA SILVA,oil on canvas,Oil,130.0,80.5,10465.0,Portugal,1908-1992,1908,1992,1950,Abstract Expressionism,Abstract,150000,200000,175000,189000,Premium
Bouquet sur un guéridon,BERNARD BUFFET,oil on canvas,Oil,64.9,49.8,3232.02,France,1928-1999,1928,1999,1964,Abstract Expressionism,Abstract,50000,70000,60000,126000,Premium
Crâne et bouteilles,BERNARD BUFFET,oil on canvas,Oil,96.8,162.0,15681.6,France,1928-1999,1928,1999,1964,Abstract Expressionism,Abstract,100000,150000,125000,,
La Tour Saint-Jacques,BERNARD BUFFET,oil on canvas,Oil,114.0,146.4,16689.6,France,1928-1999,1928,1999,1964,Abstract Expressionism,Abstract,200000,350000,275000,352800,Premium
"Les Grands Arbres, environs d'Honfleur",FÉLIX VALLOTTON,oil on canvas,Oil,100.0,73.0,7300.0,Switzerland,1865-1925,1865,1925,1895,Abstract Expressionism,Abstract,400000,600000,500000,504000,Premium
Obias,BERNARD FRIZE,acrylic,Acrylic,173.0,173.0,29929.0,France,né en 1949,1949,,1949,Abstract Expressionism,Abstract,65000,85000,75000,100800,Premium
Homage to the Square [Night Starts],JOSEF ALBERS,Unknown,Unknown,60.9,60.9,3708.81,Germany,1888-1976,1888,1976,1932,Abstract Expressionism,Abstract,150000,250000,200000,378000,Premium
Vegalom,VICTOR VASARELY,acrylic,Acrylic,80.0,80.0,6400.0,Hungary,1906-1997,1906,1997,1952,Abstract Expressionism,Abstract,40000,60000,50000,113400,Premium
Physichromie 1152,CARLOS CRUZ-DIEZ,Unknown,Unknown,80.5,159.8,12863.9,Venezuela,1923-2019,1923,2019,1971,Abstract Expressionism,Abstract,100000,150000,125000,126000,Premium
Svelare e rivelare,ALIGHIERO BOETTI,Unknown,Unknown,22.5,23.5,528.75,Italy,1940-1994,1940,1994,1967,Abstract Expressionism,Abstract,30000,50000,40000,57960,Premium
Entre chien et loup,ALIGHIERO BOETTI,Unknown,Unknown,17.0,17.2,292.4,Italy,1940-1994,1940,1994,1967,Abstract Expressionism,Abstract,25000,35000,30000,37800,High
Spirale,MIMMO ROTELLA,Unknown,Unknown,70.3,69.0,4850.7,Italy,1918-2006,1918,2006,1962,Abstract Expressionism,Abstract,50000,70000,60000,69300,Premium
Interno + Esterno,MARIO SCHIFANO,Unknown,Unknown,120.0,95.0,11400.0,Italy,1934-1998,1934,1998,1966,Abstract Expressionism,Abstract,15000,20000,17500,30240,High
Foro mm 3 (Tautologia),LUCIANO FABRO,Unknown,Unknown,70.0,2.5,175.0,Italy,1936-2007,1936,2007,1972,Abstract Expressionism,Abstract,40000,60000,50000,18900,High
Roma – Campidoglio – Simmetrie,VETTOR PISANI,Unknown,Unknown,39.0,26.0,1014.0,Italy,1934-2011,1934,2011,1972,Abstract Expressionism,Abstract,7000,10000,8500,9450,Medium
Sans titre,MARIO MERZ,Unknown,Unknown,69.7,99.7,6949.09,Italy,1925-2003,1925,2003,1964,Abstract Expressionism,Abstract,70000,100000,85000,75600,Premium
Stella,GILBERTO ZORIO,Unknown,Unknown,56.0,60.0,3360.0,Italy,né en 1944,1944,,1944,Abstract Expressionism,Abstract,25000,35000,30000,44100,High
Sans titre,JANNIS KOUNELLIS,Unknown,Unknown,180.0,15.0,2700.0,Greece,1936-2017,1936,2017,1976,Abstract Expressionism,Abstract,100000,150000,125000,189000,Premium
"Senza titolo (Entrare nell’opera), Versione #4",GIOVANNI ANSELMO,Unknown,Unknown,70.0,100.0,7000.0,Italy,1934-2013,1934,2013,1974,Abstract Expressionism,Abstract,40000,60000,50000,78120,Premium
Da Goya,EMILIO PRINI,Unknown,Unknown,71.0,49.0,3479.0,Italy,1943-2016,1943,2016,1980,Abstract Expressionism,Portrait,7000,10000,8500,15750,Medium
Sans titre,MARIO MERZ,Unknown,Unknown,80.0,7.5,600.0,Italy,1925-2003,1925,2003,1964,Abstract Expressionism,Abstract,40000,60000,50000,75600,Premium
Sans titre (The engine underneath the press …),RAYMOND PETTIBON,gouache,Gouache,132.0,174.0,22968.0,Unknown,né en 1957,1957,,1957,Abstract Expressionism,Abstract,80000,120000,100000,,
AEA,PAUL MCCARTHY,Unknown,Unknown,121.5,91.0,11056.5,Unknown,né en 1945,1945,,1945,Abstract Expressionism,Abstract,80000,120000,100000,100800,Premium
Camo BW-2C-M3,INVADER,Unknown,Unknown,47.4,49.9,2365.26,Unknown,né en 1969,1969,,1969,Abstract Expressionism,Abstract,40000,60000,50000,75600,Premium
In memory of Frank Gehry's flowers,SOPHIE CALLE,Unknown,Unknown,,,,Unknown,née en 1953,1953,,1953,Abstract Expressionism,Abstract,10000,15000,12500,41580,High
Pôle sud,WILLIAM KENTRIDGE,Unknown,Unknown,71.5,128.5,9187.75,Unknown,né en 1955,1955,,1955,Abstract Expressionism,Abstract,80000,120000,100000,100800,Premium
"Tête, squelette",ANNETTE MESSAGER,Unknown,Unknown,34.0,30.0,1020.0,Unknown,née en 1943,1943,,1943,Abstract Expressionism,Abstract,6000,8000,7000,7560,Medium
What did she say ?,DAVID LYNCH,acrylic,Acrylic,120.0,5.7,684.0,Unknown,né en 1946,1946,,1946,Abstract Expressionism,Abstract,35000,45000,40000,69300,Premium
Games of the Sun-God,WAONE,oil on canvas,Oil,139.5,209.8,29267.1,Unknown,né en 1981,1981,,1981,Abstract Expressionism,Abstract,6000,8000,7000,20160,High
17th Street,OLIVIER MOSSET,Unknown,Unknown,152.4,183.0,27889.2,Unknown,né en 1944,1944,,1944,Abstract Expressionism,Abstract,30000,50000,40000,,
Fruit du lotus,JOHN ARMLEDER,acrylic,Acrylic,225.0,150.0,33750.0,Unknown,né en 1948,1948,,1948,Abstract Expressionism,Abstract,30000,50000,40000,31500,High
F. Kafka - Zurau,JEAN-MICHEL ALBEROLA,oil on canvas,Oil,109.9,100.1,11000.99,Unknown,né en 1953,1953,,1953,Abstract Expressionism,Abstract,15000,20000,17500,20160,High
L'Arc-en-ciel,FÉLIX VALLOTTON,Unknown,Unknown,34.7,28.0,971.6,Switzerland,1865-1925,1865,1925,1895,Abstract Expressionism,Abstract,40000,60000,50000,98280,Premium
Nature morte,ANDRÉ DERAIN,oil on canvas,Oil,50.4,71.2,3588.48,Unknown,1880-1954,1880,1954,1917,Abstract Expressionism,Abstract,50000,70000,60000,119700,Premium
Les Bords du Nil,ÉMILE BERNARD,oil on canvas,Oil,59.4,40.1,2381.94,Unknown,1868-1941,1868,1941,1904,Abstract Expressionism,Abstract,20000,30000,25000,25200,High
Les Moutons noirs,GEORGES LACOMBE,Unknown,Unknown,54.4,73.0,3971.2,Unknown,1868-1916,1868,1916,1892,Abstract Expressionism,Abstract,40000,60000,50000,63000,Premium
"Pommes, coing et grenade sur un linge",PIERRE-AUGUSTE RENOIR,oil on canvas,Oil,22.0,32.5,715.0,Unknown,1841-1919,1841,1919,1880,Abstract Expressionism,Abstract,150000,250000,200000,176400,Premium
Madame Marie Desjardins,KEES VAN DONGEN,oil on canvas,Oil,49.2,73.0,3591.6,Unknown,1877-1968,1877,1968,1922,Abstract Expressionism,Abstract,100000,150000,125000,239400,Premium
L'Enfant à la capuche,PIERRE-AUGUSTE RENOIR,oil on canvas,Oil,29.0,27.0,783.0,Unknown,1841-1919,1841,1919,1880,Abstract Expressionism,Portrait,200000,300000,250000,327600,Premium
Baigneuses,BERTHE MORISOT,oil on canvas,Oil,41.1,33.1,1360.41,Unknown,1841-1895,1841,1895,1868,Abstract Expressionism,Abstract,70000,100000,85000,189000,Premium
Nu de dos,PIERRE-AUGUSTE RENOIR,oil on canvas,Oil,21.5,13.0,279.5,Unknown,1841-1919,1841,1919,1880,Abstract Expressionism,Abstract,20000,30000,25000,132300,Premium
Madame Vuillard sous la suspension verte,ÉDOUARD VUILLARD,Unknown,Unknown,26.6,21.5,571.9,Unknown,1868-1940,1868,1940,1904,Abstract Expressionism,Abstract,200000,300000,250000,365400,Premium
"Portrait de Geneviève au chapeau de paille, nièce du peintre",ANDRÉ DERAIN,oil on canvas,Oil,61.0,50.1,3056.1,Unknown,1880-1954,1880,1954,1917,Abstract Expressionism,Abstract,30000,50000,40000,69300,Premium
Femme allongée,ADOLPHE JOSEPH THOMAS MONTICELLI,Unknown,Unknown,18.6,26.1,485.46,Unknown,1824-1886,1824,1886,1855,Abstract Expressionism,Abstract,2000,3000,2500,4788,Low
La Joie de vivre,SUZANNE VALADON,Unknown,Unknown,54.5,80.0,4360.0,Unknown,1865-1938,1865,1938,1902,Abstract Expressionism,Abstract,120000,180000,150000,302400,Premium
"Julie, la Martiniquaise",JULES PASCIN,Unknown,Unknown,92.0,73.0,6716.0,Unknown,1885-1930,1885,1930,1908,Abstract Expressionism,Abstract,25000,35000,30000,47880,High
Nu,EUGÈNE LEROY,oil on canvas,Oil,100.4,81.4,8172.56,Unknown,1910-2000,1910,2000,1955,Abstract Expressionism,Abstract,30000,50000,40000,32760,High
Portrait de femme drapée de rouge,FÉLIX VALLOTTON,oil on canvas,Oil,80.9,65.0,5258.5,Switzerland,1865-1925,1865,1925,1895,Abstract Expressionism,Portrait,150000,200000,175000,554400,Premium
Suzanne et les vieillards,PAUL SÉRUSIER,oil on canvas,Oil,81.0,54.4,4406.4,Unknown,1863-1927,1863,1927,1895,Abstract Expressionism,Abstract,50000,70000,60000,113400,Premium
Les Pêches,PIERRE-AUGUSTE RENOIR,oil on canvas,Oil,18.6,30.7,571.02,Unknown,1841-1919,1841,1919,1880,Abstract Expressionism,Abstract,120000,180000,150000,,
"Éragny, Les Meules",MAXIMILIEN LUCE,Unknown,Unknown,34.3,51.0,1749.3,Unknown,1858-1941,1858,1941,1900,Abstract Expressionism,Abstract,30000,50000,40000,63000,Premium
Laveuses au bord de la rivière,EUGÈNE BOUDIN,oil on canvas,Oil,46.5,65.8,3059.7,Unknown,1824-1898,1824,1898,1861,Abstract Expressionism,Abstract,60000,80000,70000,,
"Deauville, la plage à marée montante",EUGÈNE BOUDIN,oil on canvas,Oil,49.6,75.0,3720.0,Unknown,1824-1898,1824,1898,1861,Abstract Expressionism,Abstract,100000,150000,125000,132300,Premium
Portrait de l'enfant de M. Monteux,MAURICE DENIS,oil on canvas,Oil,116.3,89.2,10373.96,Unknown,1870-1943,1870,1943,1906,Abstract Expressionism,Portrait,20000,30000,25000,22680,High
"Bord de rivière, reflets dans l'eau",CAMILLE BOMBOIS,oil on canvas,Oil,63.3,81.2,5139.96,Unknown,1883-1970,1883,1970,1926,Abstract Expressionism,Abstract,10000,15000,12500,9450,Medium
La Rue et l'église,MAURICE UTRILLO,Unknown,Unknown,50.8,60.5,3073.4,Unknown,1883-1955,1883,1955,1919,Abstract Expressionism,Abstract,70000,100000,85000,100800,Premium
Rue de village sous la neige,MAURICE DE VLAMINCK,oil on canvas,Oil,54.1,65.3,3532.73,Unknown,1876-1958,1876,1958,1917,Abstract Expressionism,Abstract,30000,50000,40000,63000,Premium
Paysage de Cassis,ACHILLE-ÉMILE OTHON FRIESZ,oil on canvas,Oil,65.5,81.5,5338.25,Unknown,1879-1949,1879,1949,1914,Abstract Expressionism,Abstract,25000,35000,30000,25200,High
Paysage,KER-XAVIER ROUSSEL,Unknown,Unknown,27.0,36.4,982.8,Unknown,1867-1944,1867,1944,1906,Abstract Expressionism,Abstract,1000,1500,1250,4788,Low
"Les Toits, Composition",HENRI EUGÈNE AUGUSTIN LE SIDANER,oil on canvas,Oil,50.2,65.2,3273.04,Unknown,1862-1939,1862,1939,1900,Abstract Expressionism,Abstract,50000,80000,65000,100800,Premium
Vue de village,GUSTAVE LOISEAU,oil on canvas,Oil,33.3,41.0,1365.3,Unknown,1865-1935,1865,1935,1900,Abstract Expressionism,Abstract,20000,30000,25000,25200,High
Viviers,PAUL SIGNAC,Unknown,Unknown,27.9,44.0,1227.6,Unknown,1863-1935,1863,1935,1899,Abstract Expressionism,Abstract,15000,20000,17500,15120,Medium
Études de bateaux,PIERRE-AUGUSTE RENOIR,Unknown,Unknown,23.2,29.3,679.76,Unknown,1841-1919,1841,1919,1880,Abstract Expressionism,Abstract,10000,15000,12500,30240,High
Gül fugl i Landskab (Yellow bird in landscape),CARL-HENNING PEDERSEN,Unknown,Unknown,98.9,122.4,12105.36,Unknown,1912-2007,1912,2007,1960,Abstract Expressionism,Abstract,40000,60000,50000,,
Sans titre,DADO,oil on canvas,Oil,114.0,146.0,16644.0,Unknown,1933-2010,1933,2010,1972,Abstract Expressionism,Abstract,30000,50000,40000,103320,Premium
Sans titre,KAREL APPEL,oil on canvas,Oil,79.6,149.6,11908.16,Netherlands,1921-2006,1921,2006,1964,Abstract Expressionism,Abstract,120000,180000,150000,151200,Premium
Ocre,BRAM BOGART,Unknown,Unknown,70.5,88.0,6204.0,Unknown,1921-2012,1921,2012,1966,Abstract Expressionism,Abstract,15000,20000,17500,18900,High
Rythme d'Ocre (Ochre Rhythm),BRAM BOGART,Unknown,Unknown,40.8,61.3,2501.04,Unknown,1921-2012,1921,2012,1966,Abstract Expressionism,Abstract,10000,15000,12500,10080,Medium
Pollens et Chrysalides,ANDRÉ MASSON,gouache,Gouache,31.2,38.2,1191.84,Unknown,1896-1987,1896,1987,1942,Abstract Expressionism,Abstract,8000,12000,10000,10080,Medium
Étreinte dans une poissonnerie,ANDRÉ MASSON,Unknown,Unknown,42.0,35.5,1491.0,Unknown,1896-1987,1896,1987,1942,Abstract Expressionism,Abstract,8000,12000,10000,10080,Medium
Pujols per Dalí,SALVADOR DALÍ,Unknown,Unknown,78.0,56.7,4422.6,Unknown,1904-1989,1904,1989,1946,Abstract Expressionism,Abstract,12000,18000,15000,,
El Emperador Trajano,SALVADOR DALÍ,Unknown,Unknown,30.1,41.3,1243.13,Unknown,1904-1989,1904,1989,1946,Abstract Expressionism,Abstract,5000,7000,6000,,
Inspiration entering by the five fingers of the hand,SALVADOR DALÍ,Unknown,Unknown,27.8,36.2,1006.36,Unknown,1904-1989,1904,1989,1946,Abstract Expressionism,Abstract,40000,60000,50000,119700,Premium
Têtes de Diego,ALBERTO GIACOMETTI,Unknown,Unknown,44.9,32.0,1436.8,Unknown,1901-1966,1901,1966,1934,Abstract Expressionism,Abstract,20000,30000,25000,47880,High
Étude pour les Présages,ANDRÉ MASSON,Unknown,Unknown,48.0,62.8,3014.4,Unknown,1896-1987,1896,1987,1942,Abstract Expressionism,Abstract,8000,12000,10000,2772,Low
Sans titre,PABLO PICASSO,Unknown,Unknown,16.5,16.4,270.6,Spain,1881-1973,1881,1973,1927,Abstract Expressionism,Abstract,15000,20000,17500,32760,High
Visage de femme (Françoise),PABLO PICASSO,Unknown,Unknown,32.4,25.0,810.0,Spain,1881-1973,1881,1973,1927,Abstract Expressionism,Abstract,18000,25000,21500,35280,High
The Nativity,MARTIN SCHONGAUER,Unknown,Unknown,16.5,16.5,272.25,Germany,1445-1491,1445,1491,1468,Engraving,Engraving,85881,128822,107351,119031,Premium
The Holy Family with the three Hares,ALBRECHT DÜRER,Unknown,Unknown,38.9,28.1,1093.09,Germany,1471-1528,1471,1528,1500,Engraving,Engraving,60117,85881,72999,,
Saint Eustace,ALBRECHT DÜRER,Unknown,Unknown,35.8,26.2,937.96,Germany,1471-1528,1471,1528,1500,Engraving,Engraving,171762,257643,214702,389557,Premium
Melencolia I,ALBRECHT DÜRER,Unknown,Unknown,24.0,18.9,453.6,Germany,1471-1528,1471,1528,1500,Engraving,Engraving,257643,429406,343524,757472,Premium
Abraham and Isaac,LUCAS VAN LEYDEN,Unknown,Unknown,28.7,21.4,614.18,Netherlands,1494-1533,1494,1533,1514,Engraving,Engraving,25764,42941,34352,70337,Premium
The Dance of Saint Mary Magdalene,LUCAS VAN LEYDEN,Unknown,Unknown,28.8,39.5,1137.6,Netherlands,1494-1533,1494,1533,1514,Engraving,Engraving,25764,42941,34352,34627,High
River Landscape with Rocks at Left and Right,AUGUSTIN HIRSCHVOGEL,Unknown,Unknown,20.32,17.78,361.29,Germany,1503-1553,1503,1553,1528,Engraving,Engraving,21470,30058,25764,27053,High
"Mountainous Landscape, in the Middle a River and a Citadel",HANNS LAUTENSACK,Unknown,Unknown,17.0,11.2,190.4,Germany,1520-1566,1520,1566,1543,Engraving,Engraving,6870,10306,8588,8657,Medium
"La bête a sept têtes et a dix cornes (The Beast with Seven Heads and Ten Horns), from: L'Apocalypse figurée",JEAN DUVET,Unknown,Unknown,30.6,22.2,679.32,France,1485-1570,1485,1570,1528,Engraving,Engraving,21470,30058,25764,51941,High
"Euntes in Emmaus (The Way to Emmaus), from: The Large Landscapes",JOANNES VAN DOETECUM THE ELDER AND LUCAS VAN DOETECUM AFTER PIETER BRUEGEL THE ELDER,Unknown,Unknown,32.4,43.0,1393.2,Unknown,Период не найден,,,,Engraving,Engraving,6012,8588,7300,16232,Medium
Hercules killing Cacus,HENDRICK GOLTZIUS,Unknown,Unknown,20.32,33.02,670.97,Netherlands,1558-1617,1558,1617,1588,Engraving,Engraving,25764,42941,34352,41120,High
Ceres seeking her Daughter,HENDRIK GOUDT AFTER ADAM ELSHEIMER,Unknown,Unknown,31.8,24.7,785.46,Unknown,1583-1648,1583,1648,1616,Engraving,Engraving,3435,5153,4294,14067,Medium
Les trois Maries au tombeau (The Holy Women at the Sepulchre),JACQUES BELLANGE,Unknown,Unknown,44.4,29.2,1296.48,France,1575-1616,1575,1616,1596,Engraving,Engraving,42941,60117,51529,75747,Premium
La Foire de l'Impruneta (Deuxième Planche),JACQUES CALLOT,Unknown,Unknown,42.0,66.5,2793.0,France,1592-1635,1592,1635,1614,Engraving,Engraving,3435,5153,4294,14067,Medium
Saint Catherine,PETER PAUL RUBENS,Unknown,Unknown,29.4,19.8,582.12,Flanders (modern Belgium),1577-1640,1577,1640,1608,Engraving,Engraving,10306,15459,12882,23806,High
Jan de Wael,ANTHONY VAN DYCK,Unknown,Unknown,25.4,17.78,451.61,Flanders (modern Belgium),1599-1641,1599,1641,1620,Engraving,Engraving,10306,15459,12882,12985,Medium
