Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
Maison de campagne,GUSTAVE LOISEAU,,"USD 80,000 - 120,000",oil on canvas,49.8 x 61.6 cm,France,1865-1935,Impressionism,Landscape
"Le verger à Moret-sur-Loing, printemps",ALFRED SISLEY,"USD 806,400","USD 400,000 - 600,000",oil on canvas,46.4 x 55.2 cm,France,1839-1899,Impressionism,Landscape
Femme assise lisant,GEORGES LEMMEN,"USD 10,710","USD 12,000 - 18,000",N/A,27 x 34.8 cm,Belgium,1865-1916,Neo-Impressionism,Portrait
La rivière à Montreuil-sur-Mer,ANDRE DERAIN,"USD 163,800","USD 150,000 - 250,000",oil on canvas,65.1 x 54.2 cm,France,1880-1954,Fauvism,Landscape
Le bal champêtre,RAOUL DUFY,,"USD 500,000 - 800,000",oil on canvas,46.1 x 55.2 cm,France,1877-1953,Fauvism,Landscape
"Poissy, Le Pont",MAURICE DE VLAMINCK,"USD 138,600","USD 80,000 - 120,000",oil on canvas,60 x 81.1 cm,France,1876-1958,Fauvism,Landscape
La croisée des chemins,EMILE OTHON FRIESZ,"USD 18,900","USD 8,000 - 12,000",oil on canvas,51.2 x 64.3 cm,France,1879-1949,Fauvism,Landscape
Nature morte à la soupière et bouteille,ANDRE DERAIN,"USD 151,200","USD 150,000 - 250,000",oil on canvas,59.7 x 55.5 cm,France,1880-1954,Fauvism,Landscape
Nu à la mantille dit aussi Le divan au modèle,KEES VAN DONGEN,"USD 693,000","USD 600,000 - 900,000",oil on canvas,46.4 x 55.3 cm,Netherlands,1877-1968,Fauvism,Portrait
Marie ouvrant la fenêtre,EDOUARD VUILLARD,"USD 94,500","USD 70,000 - 100,000",N/A,27.3 x 28.5 cm,France,1868-1940,Nabis,Interior
Fleurs dans un vase vert,ODILON REDON,,"USD 250,000 - 450,000",N/A,62.9 x 37.9 cm,France,1840-1916,Symbolism,Fantasy
L’après-midi d’un faune,AFTER PAUL GAUGUIN,"USD 12,600","USD 12,000 - 18,000",bronze,N/A,France,1848-1903,Post-Impressionism,Symbolism
Oviri,AFTER PAUL GAUGUIN,"USD 18,900","USD 12,000 - 18,000",bronze,N/A,France,1848-1903,Post-Impressionism,Symbolism
Tête d'homme,ODILON REDON,,"USD 150,000 - 200,000",oil on canvas,38.3 x 46.2 cm,France,1840-1916,Symbolism,Fantasy
Mystischer Kopf: Blauer Mund,ALEXEJ VON JAWLENSKY,"USD 945,000","USD 750,000 - 1,250,000",N/A,36.3 x 29.6 cm,Russia,1864-1941,Expressionism,Portrait
Nature morte cubiste,HENRI HAYDEN,"USD 75,600","USD 60,000 - 80,000",oil on canvas,46.4 x 65.4 cm,Poland,1883-1970,Cubism,Still Life
Figure à la guitare,JACQUES LIPCHITZ,"USD 18,900","USD 12,000 - 18,000",bronze,19.2 x 26.5 cm,Lithuania,1891-1973,Cubism,Sculpture
"Forme-rythme, les roses",ALBERT GLEIZES,"USD 100,800","USD 80,000 - 120,000",oil on canvas,135 x 75.7 cm,France,1881-1953,Cubism,Abstract
Composition aux trois fleurs,FERNAND LEGER,,"USD 600,000 - 800,000",oil on canvas,65.7 x 49.8 cm,France,1881-1955,Cubism,Abstract
Petite femme au miroir,HENRI LAURENS,"USD 20,160","USD 20,000 - 30,000",N/A,N/A,France,1885-1954,Cubism,Sculpture
Danseuse espagnole,ALBERT GLEIZES,"USD 119,700","USD 100,000 - 150,000",oil on canvas,116 x 64.6 cm,France,1881-1953,Cubism,Abstract
La Bacchante ou Nu allongé dans un paysage,ANDRE LHOTE,,"USD 220,000 - 280,000",N/A,106 x 106 cm,France,1885-1962,Cubism,Landscape
"Figure habillée, dit aussi Figure ou Figure de femme debout",JOSEPH CSAKY,"USD 30,240","USD 25,000 - 35,000",bronze,N/A,Hungary,1888-1954,Cubism,Sculpture
Nature morte au pain et au couteau,LOUIS MARCOUSSIS,,"USD 60,000 - 80,000",oil on canvas,50.1 x 61 cm,Poland,1883-1941,Cubism,Still Life
Composition,ALBERT GLEIZES,"USD 94,500","USD 50,000 - 70,000",N/A,115.2 x 155.4 cm,France,1881-1953,Cubism,Abstract
Sculpture mythique,JEAN ARP,,"USD 250,000 - 350,000",bronze,N/A,Unknown,HANS,Dadaism,Sculpture
Giocoliere e cavallo,MARINO MARINI,"USD 75,600","USD 80,000 - 120,000",N/A,99.2 x 69.1 cm,Italy,1901-1980,Modernism,Sculpture
The Gordian Knot,FRANCOISE GILOT,,"USD 60,000 - 80,000",oil on canvas,100.4 x 81.4 cm,France,1921-2023,Post-Impressionism,Portrait
Studio per Miracolo,MARINO MARINI,,"USD 100,000 - 150,000",N/A,131.3 x 83.9 cm,Italy,1901-1980,Modernism,Sculpture
L'Agressif,JEAN ARP,,"USD 80,000 - 120,000",bronze,N/A,Unknown,HANS,Dadaism,Sculpture
Mariage aux poissons,MARC CHAGALL,,"USD 500,000 - 700,000",oil on canvas,65.4 x 49.8 cm,Belarus,1887-1985,Modernism,Symbolism
Les maisons sur la rivi è re au clair de lune,HENRI LE SIDANER,"USD 113,400","USD 60,000 - 80,000",oil on canvas,45.9 x 38 cm,France,1862-1939,Impressionism,Landscape
L'Escarpolette,HENRI LEBASQUE,"USD 126,000","USD 120,000 - 180,000",oil on canvas,89 x 116.5 cm,France,1865-1937,Post-Impressionism,Landscape
Villiers sur Morin,ARMAND GUILLAUMIN,"USD 56,700","USD 30,000 - 50,000",oil on canvas,60 x 72.8 cm,France,1841-1927,Impressionism,Landscape
Paysage au toit rouge,PIERRE-AUGUSTE RENOIR,"USD 60,480","USD 50,000 - 70,000",oil on canvas,12.3 x 20.5 cm,France,1841-1919,Impressionism,Portrait
"Antibes, Les Fortifications",EUGENE BOUDIN,"USD 163,800","USD 100,000 - 150,000",oil on canvas,20 x 29 in,France,1824-1898,Impressionism,Landscape
Yvonne Printemps dans le canapé,EDOUARD VUILLARD,,"USD 450,000 - 650,000",N/A,120 x 80.2 cm,France,1868-1940,Nabis,Interior
Femme au tub,PIERRE BONNARD,"USD 151,200","USD 150,000 - 250,000",oil on canvas,47.7 x 36.8 cm,France,1867-1947,Post-Impressionism,Interior
"Le Baiser, 4ème réduction ou petit modèle dit aussi "" réduction no. 2""",AUGUSTE RODIN,"USD 302,400","USD 150,000 - 250,000",bronze,N/A,France,1840-1917,Realism,Sculpture
Femme nue assise,PIERRE-AUGUSTE RENOIR,"USD 138,600","USD 50,000 - 70,000",oil on canvas,14.3 x 14 cm,France,1841-1919,Impressionism,Portrait
"Trois faunesses, dit aussi Trois bretonnes",AUGUSTE RODIN,,"USD 100,000 - 150,000",bronze,N/A,France,1840-1917,Realism,Sculpture
La Prairie,PIERRE-AUGUSTE RENOIR,"USD 189,000","USD 250,000 - 350,000",oil on canvas,32.5 x 46.1 cm,France,1841-1919,Impressionism,Portrait
"Fécamp, Le Port",EUGENE BOUDIN,"USD 35,280","USD 40,000 - 60,000",oil on canvas,40.5 x 55.3 cm,France,1824-1898,Impressionism,Landscape
"Vénus, petit modèle dit aussi ""Aphrodite, petit modèle""",AUGUSTE RODIN,"USD 75,600","USD 60,000 - 80,000",bronze,N/A,France,1840-1917,Realism,Sculpture
Femme en rouge dans un paysage,PIERRE-AUGUSTE RENOIR,"USD 214,200","USD 150,000 - 250,000",oil on canvas,38.6 x 46.7 cm,France,1841-1919,Impressionism,Portrait
Nu debout se coiffant (Baigneuse aux bras levés),ARISTIDE MAILLOL,,"USD 250,000 - 350,000",bronze,N/A,France,1861-1944,Classicism,Sculpture
"Caudebec-en-Caux, le quai de la Seine",EUGENE BOUDIN,,"USD 100,000 - 150,000",oil on canvas,40.3 x 55.2 cm,France,1824-1898,Impressionism,Landscape
Bateau en haute mer,ODILON REDON,"USD 63,000","USD 50,000 - 70,000",N/A,8 x 12 in,France,1840-1916,Symbolism,Fantasy
"Torse de l'urne, Etude de nu",EMILE-ANTOINE BOURDELLE,,"USD 5,000 - 7,000",bronze,N/A,France,1861-1929,Modernism,Sculpture
Six roses,HENRI FANTIN-LATOUR,"USD 126,000","USD 100,000 - 150,000",oil on canvas,33.1 x 37.3 cm,France,1836-1904,Realism,Still Life
Vase d'œillets,LOUIS VALTAT,"USD 10,710","USD 10,000 - 15,000",N/A,33.2 x 24.5 cm,France,1869-1952,Post-Impressionism,Landscape
Anémones dans un vase blanc,HENRI CHARLES MANGUIN,"USD 18,900","USD 10,000 - 15,000",oil on canvas,55.2 x 38 cm,France,1874-1949,Fauvism,Landscape
Reines marguerites et fleurs diverses dans un vase,HENRI FANTIN-LATOUR,,"USD 60,000 - 80,000",oil on canvas,8 x 14 in,France,1836-1904,Realism,Still Life
Petite Vénus à la pomme,PIERRE-AUGUSTE RENOIR AND RICHARD GUINO,,"USD 30,000 - 50,000",bronze,N/A,Unknown,1841-1919,Impressionism,Collaborative Sculpture
Pierrots bleus aux fleurs rouges,GEORGES ROUAULT,"USD 30,240","USD 30,000 - 50,000",N/A,35.5 x 27 cm,France,1871-1958,Expressionism,Religious
Acrobates et musicien au ciel mauve,MARC CHAGALL,"USD 529,200","USD 300,000 - 500,000",gouache,49.2 x 37.1 cm,Belarus,1887-1985,Modernism,Symbolism
Meadow in the Sunshine,FRANCOISE GILOT,"USD 138,600","USD 80,000 - 120,000",oil on canvas,73.2 x 60.3 cm,France,1921-2023,Post-Impressionism,Portrait
Femme sur fond jaune,JEAN-PIERRE CASSIGNEUL,"USD 100,800","USD 40,000 - 60,000",oil on canvas,91.9 x 72.7 cm,France,B. 1935,Post-Impressionism,Portrait
Nature morte à la fenêtre ouverte,HENRI HAYDEN,"USD 10,080","USD 6,000 - 8,000",oil on canvas,60 x 73 cm,Poland,1883-1970,Cubism,Still Life
"La maison de Mimi Pinson à Montmartre, sous la neige",MAURICE UTRILLO,"USD 60,480","USD 30,000 - 50,000",oil on canvas,15 x 18 in,France,1883-1955,Naïve Art,Cityscape
Village sous la neige,MAURICE DE VLAMINCK,"USD 37,800","USD 30,000 - 50,000",oil on canvas,46.8 x 54.7 cm,France,1876-1958,Fauvism,Landscape
La colline de Six Fours,HENRI HAYDEN,"USD 7,560","USD 7,000 - 10,000",oil on canvas,65 x 81 cm,Poland,1883-1970,Cubism,Still Life
Agay le matin,ARMAND GUILLAUMIN,"USD 56,700","USD 50,000 - 70,000",oil on canvas,60 x 92 cm,France,1841-1927,Impressionism,Landscape
Matinée de printemps aux Andelys,HENRI LEBASQUE,"USD 277,200","USD 100,000 - 150,000",oil on canvas,73.1 x 91.7 cm,France,1865-1937,Post-Impressionism,Landscape
Fête de Vaugirard à Paris,MAURICE UTRILLO,"USD 30,240","USD 30,000 - 50,000",oil on canvas,38 x 46.3 cm,France,1883-1955,Naïve Art,Cityscape
Les toits rouges,MAURICE DE VLAMINCK,,"USD 30,000 - 50,000",oil on canvas,50.5 x 61.1 cm,France,1876-1958,Fauvism,Landscape
Le Sorbet,JEAN-PIERRE CASSIGNEUL,"USD 69,300","USD 30,000 - 50,000",oil on canvas,80.4 x 59.8 cm,France,B. 1935,Post-Impressionism,Portrait
Verkündung,GEORG KOLBE,"USD 52,920","USD 18,000 - 25,000",bronze,N/A,Germany,1877-1947,Expressionism,Sculpture
Nu (esquisse) ou Olympia,GEORGES ROUAULT,"USD 47,880","USD 30,000 - 50,000",N/A,62.2 x 46.1 cm,France,1871-1958,Expressionism,Religious
"La Désespérance, dit aussi La Souffrance",ODILON REDON,,"USD 80,000 - 120,000",N/A,71.1 x 53 cm,France,1840-1916,Symbolism,Fantasy
Madame Vuillard sur fond clair,EDOUARD VUILLARD,,"USD 25,000 - 35,000",N/A,31.3 x 24.7 cm,France,1868-1940,Nabis,Interior
Pêcheurs,PIERRE BONNARD,,"USD 40,000 - 60,000",oil on canvas,56.9 x 18.5 cm,France,1867-1947,Post-Impressionism,Interior
Das Grauen,ERNST BARLACH,"USD 27,720","USD 30,000 - 50,000",bronze,N/A,Germany,1870-1938,Expressionism,Sculpture
Famille cubaine,JULES PASCIN,"USD 20,160","USD 20,000 - 30,000",oil on canvas,41.2 x 46.1 cm,Bulgaria,1885-1930,Expressionism,Portrait
Beauval,HENRI HAYDEN,"USD 8,820","USD 4,000 - 6,000",oil on canvas,72.7 x 92.2 cm,Poland,1883-1970,Cubism,Still Life
Le vieux mexicain,JULES PASCIN,"USD 18,900","USD 18,000 - 25,000",oil on canvas,8 x 26 in,Bulgaria,1885-1930,Expressionism,Portrait
Deux étudiants,EMMANUEL MANE-KATZ,"USD 30,240","USD 7,000 - 10,000",oil on canvas,89.3 x 116 cm,Ukraine,1894-1962,Expressionism,Religious Art
Arlequin et Colombine,DIETZ EDZARD,"USD 4,032","USD 4,000 - 6,000",oil on canvas,73 x 59.8 cm,Germany,1893-1963,Post-Impressionism,Portrait
Rose et musique,DIETZ EDZARD,"USD 3,528","USD 800 - 1,200",N/A,17.9 x 28.1 cm,Germany,1893-1963,Post-Impressionism,Portrait
