Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
L'Ange au-dessus de l'homme à la tête de Torah,Marc Chagall,"EUR 22,680","EUR 1,100 - 1,400",N/A,27 x 20.8 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
"Esquisse pour ""Les Amoureux"" (recto); Nu (verso)",Marc Chagall,"EUR 75,600","EUR 11,000 - 17,000",N/A,42.7 x 31.2 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Hyménée,Marc Chagall,"EUR 6,930","EUR 1,800 - 2,800",N/A,32 x 24 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Couple allongé au bouquet devant la fenêtre,Marc Chagall,"EUR 44,100","EUR 11,000 - 17,000",N/A,48 x 38.2 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Bouquet rose-mauve aux amoureux,Marc Chagall,"EUR 56,700","EUR 6,500 - 9,000",N/A,42.5 x 32 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
L'Ange à l'épée au paradis sur fond gris,Marc Chagall,"EUR 47,880","EUR 14,000 - 18,000",N/A,49.2 x 36.3 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Fiançailles au Cirque,Marc Chagall,"EUR 4,032","EUR 1,800 - 2,800",N/A,"45,5 x 35 cm",FRENCH,1887-1985,Surrealism,Fantasy Compositions
L'Écuyer,Marc Chagall,"EUR 32,760","EUR 11,000 - 17,000",gouache,65 x 50 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Chèvre pour Azazel,Marc Chagall,"EUR 23,940","EUR 9,000 - 14,000",N/A,31.3 x 24.2 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
L'Aurore,Marc Chagall,"EUR 3,024","EUR 1,400 - 1,800",N/A,"31 x 23,5 cm",FRENCH,1887-1985,Surrealism,Fantasy Compositions
Maïakovski,Marc Chagall,"EUR 8,190","EUR 1,800 - 3,800",N/A,47.5 x 32.5 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Élie sur son char de feu,Marc Chagall,"EUR 11,970",EUR 500 - 700,N/A,24.7 x 16.5 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
Vision de Moïse,Marc Chagall,"EUR 4,032","EUR 2,800 - 4,500",N/A,32 x 50 cm,FRENCH,1887-1985,Surrealism,Fantasy Compositions
