Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
Les Pêches,Pierre-Auguste Renoir,,"EUR 120,000 - 180,000",oil on canvas,18.6 x 30.7 cm,Unknown,1841-1919,Abstract Expressionism,Abstract
"Éragny, Les Meules",Maximilien Luce,"EUR 63,000","EUR 30,000 - 50,000",N/A,34.3 x 51 cm,Unknown,1858-1941,Abstract Expressionism,Abstract
Laveuses au bord de la rivière,Eugène Boudin,,"EUR 60,000 - 80,000",oil on canvas,46.5 x 65.8 cm,Unknown,1824-1898,Abstract Expressionism,Abstract
"Deauville, la plage à marée montante",Eugène Boudin,"EUR 132,300","EUR 100,000 - 150,000",oil on canvas,49.6 x 75 cm,Unknown,1824-1898,Abstract Expressionism,Abstract
Portrait de l'enfant de M. Monteux,Maurice Denis,"EUR 22,680","EUR 20,000 - 30,000",oil on canvas,116.3 x 89.2 cm,Unknown,1870-1943,Abstract Expressionism,Portrait
"Bord de rivière, reflets dans l'eau",Camille Bombois,"EUR 9,450","EUR 10,000 - 15,000",oil on canvas,63.3 x 81.2 cm,Unknown,1883-1970,Abstract Expressionism,Abstract
La Rue et l'église,Maurice Utrillo,"EUR 100,800","EUR 70,000 - 100,000",N/A,50.8 x 60.5 cm,Unknown,1883-1955,Abstract Expressionism,Abstract
Rue de village sous la neige,Maurice de Vlaminck,"EUR 63,000","EUR 30,000 - 50,000",oil on canvas,54.1 x 65.3 cm,Unknown,1876-1958,Abstract Expressionism,Abstract
Paysage de Cassis,Achille-Émile Othon Friesz,"EUR 25,200","EUR 25,000 - 35,000",oil on canvas,65.5 x 81.5 cm,Unknown,1879-1949,Abstract Expressionism,Abstract
Paysage,Ker-Xavier Roussel,"EUR 4,788","EUR 1,000 - 1,500",N/A,27 x 36.4 cm,Unknown,1867-1944,Abstract Expressionism,Abstract
"Les Toits, Composition",Henri Eugène Augustin Le Sidaner,"EUR 100,800","EUR 50,000 - 80,000",oil on canvas,50.2 x 65.2 cm,Unknown,1862-1939,Abstract Expressionism,Abstract
Vue de village,Gustave Loiseau,"EUR 25,200","EUR 20,000 - 30,000",oil on canvas,33.3 x 41 cm,Unknown,1865-1935,Abstract Expressionism,Abstract
Viviers,Paul Signac,"EUR 15,120","EUR 15,000 - 20,000",N/A,27.9 x 44 cm,Unknown,1863-1935,Abstract Expressionism,Abstract
Études de bateaux,Pierre-Auguste Renoir,"EUR 30,240","EUR 10,000 - 15,000",N/A,23.2 x 29.3 cm,Unknown,1841-1919,Abstract Expressionism,Abstract
Gül fugl i Landskab (Yellow bird in landscape),Carl-Henning Pedersen,,"EUR 40,000 - 60,000",N/A,98.9 x 122.4 cm,Unknown,1912-2007,Abstract Expressionism,Abstract
Sans titre,Dado,"EUR 103,320","EUR 30,000 - 50,000",oil on canvas,114 x 146 cm,Unknown,1933-2010,Abstract Expressionism,Abstract
Sans titre,Karel Appel,"EUR 151,200","EUR 120,000 - 180,000",oil on canvas,79.6 x 149.6 cm,Netherlands,1921-2006,Abstract Expressionism,Abstract
Ocre,Bram Bogart,"EUR 18,900","EUR 15,000 - 20,000",N/A,70.5 x 88 cm,Unknown,1921-2012,Abstract Expressionism,Abstract
Rythme d'Ocre (Ochre Rhythm),Bram Bogart,"EUR 10,080","EUR 10,000 - 15,000",N/A,40.8 x 61.3 cm,Unknown,1921-2012,Abstract Expressionism,Abstract
Pollens et Chrysalides,André Masson,"EUR 10,080","EUR 8,000 - 12,000",gouache,31.2 x 38.2 cm,Unknown,1896-1987,Abstract Expressionism,Abstract
Étreinte dans une poissonnerie,André Masson,"EUR 10,080","EUR 8,000 - 12,000",N/A,42 x 35.5 cm,Unknown,1896-1987,Abstract Expressionism,Abstract
Pujols per Dalí,Salvador Dalí,,"EUR 12,000 - 18,000",N/A,78 x 56.7 cm,Unknown,1904-1989,Abstract Expressionism,Abstract
El Emperador Trajano,Salvador Dalí,,"EUR 5,000 - 7,000",N/A,30.1 x 41.3 cm,Unknown,1904-1989,Abstract Expressionism,Abstract
Inspiration entering by the five fingers of the hand,Salvador Dalí,"EUR 119,700","EUR 40,000 - 60,000",N/A,27.8 x 36.2 cm,Unknown,1904-1989,Abstract Expressionism,Abstract
Têtes de Diego,Alberto Giacometti,"EUR 47,880","EUR 20,000 - 30,000",N/A,44.9 x 32 cm,Unknown,1901-1966,Abstract Expressionism,Abstract
Étude pour les Présages,André Masson,"EUR 2,772","EUR 8,000 - 12,000",N/A,48 x 62.8 cm,Unknown,1896-1987,Abstract Expressionism,Abstract
Sans titre,Pablo Picasso,"EUR 32,760","EUR 15,000 - 20,000",N/A,16.5 x 16.4 cm,Spain,1881-1973,Abstract Expressionism,Abstract
Visage de femme (Françoise),Pablo Picasso,"EUR 35,280","EUR 18,000 - 25,000",N/A,32.4 x 25 cm,Spain,1881-1973,Abstract Expressionism,Abstract
