название;имя_художника;стоимость;примерная_оценка;материал;размер;страна;период;стиль;жанр
St Bénézet of Avignon;ELEANOR FORTESCUE BRICKDALE, R.W.S.;GBP 6,930;GBP 2,500 - 3,500;;37.2 x 26.4 cm;BRITISH;1871-1945;Realism;Modern Art
Christian at the foot of the cross - The Pilgrim's Progress;JOSEPH NOEL PATON, R.S.A.;GBP 6,300;GBP 7,000 - 10,000;oil on canvas, with an arched top;40 x 26.5 cm;BRITISH;1821-1909;Realism;Modern Art
St Catherine (The Miraculous Wedding);SIR ALFRED GILBERT, M.V.O., R.A.;GBP 10,710;GBP 7,000 - 10,000;bronze, mid-brown patina;;BRITISH;1854-1934;Realism;Modern Art
An illustration to 'The Golden Legend';SIR EDWARD COLEY BURNE-JONES, BT., A.R.A., R.W.S.;;GBP 3,000 - 5,000;;21.5 x 14.5 cm;BRITISH;1833-1898;Realism;Modern Art
Jupiter;SIR EDWARD COLEY BURNE-JONES, BT., A.R.A., R.W.S.  FOR MORRIS & CO;GBP 25,200;GBP 25,000 - 35,000;;108 x 65 cm;BRITISH;1833-1898;Realism;Modern Art
'Justice', Study for a stained glass window in Kolkata Cathedral;SIR EDWARD COLEY BURNE-JONES, BT., A.R.A., R.W.S.;GBP 6,300;GBP 3,000 - 5,000;;25.1 x 12.9 cm;BRITISH;1833-1898;Realism;Modern Art
Rizpah, a colour sketch;FREDERIC, LORD LEIGHTON, P.R.A., R.W.S.;GBP 7,560;GBP 6,000 - 8,000;oil on canvas;19 x 19 cm;BRITISH;1830-1896;Realism;Modern Art
Bella Simonetta;LUCIEN LÉVY-DHURMER;GBP 1,890;GBP 8,000 - 12,000;;63.9 x 43.4 cm;FRENCH;1865-1953;Realism;Modern Art
Piazza of St Mark from the Canal, Venice;DAVID ROBERTS, R.A.;GBP 302,400;GBP 100,000 - 150,000;oil on canvas;68.7 x 114.8 cm;BRITISH;1796-1864;Realism;Modern Art
The Tower from London Bridge;HENRY DAWSON;GBP 9,450;GBP 10,000 - 15,000;oil on canvas;81.9 x 128 cm;BRITISH;1811-1878;Realism;Modern Art
London Bridge;JOHN ATKINSON GRIMSHAW;;GBP 120,000 - 180,000;oil on canvas;50.6 x 76.1 cm;BRITISH;1836-1893;Realism;Modern Art
Glasgow docks, at twilight;JOHN ATKINSON GRIMSHAW;GBP 50,400;GBP 40,000 - 60,000;oil on canvas;32.7 x 48.1 cm;BRITISH;1836-1893;Realism;Modern Art
Old Chelsea;JOHN ATKINSON GRIMSHAW;GBP 88,200;GBP 70,000 - 100,000;oil on board;17.8 x 38.1 cm;BRITISH;1836-1893;Realism;Modern Art
The riverside, Chelsea;CHARLES NAPIER HEMY, R.A., R.W.S.;GBP 25,200;GBP 8,000 - 12,000;oil on canvas;61.6 x 97 cm;BRITISH;1841-1917;Realism;Modern Art
The Engraving;AMBROSE MCEVOY, A.R.A.;;GBP 10,000 - 15,000;oil on canvas;79.9 x 64.8 cm;BRITISH;1877-1927;Realism;Modern Art
The Flower Market;LOUIS MARIE DE SCHRYVER;GBP 100,800;GBP 100,000 - 150,000;oil on canvas;51 x 60.5 cm;FRENCH;1862-1942;Realism;Modern Art
Le Moulin de la Galette;FRANK MYERS BOGGS;;GBP 15,000 - 25,000;oil on canvas;55 x 38 cm;AMERICAN;1855-1926;Realism;Modern Art
La Partie de Billiard;JEAN BÉRAUD;;GBP 30,000 - 50,000;oil on panel;32.5 x 40 cm;FRENCH;1849-1936;Realism;Modern Art
Le Moulin de la Galette;MAURICE UTRILLO;;GBP 30,000 - 50,000;oil on board;53.5 x 64.8 cm;FRENCH;1883-1955;Realism;Modern Art
Amazone ouvrant la chasse devant les habits rouge;ALFRED DE DREUX;;GBP 12,000 - 18,000;oil on canvas laid on panel;32.2 x 23.8 cm;FRENCH;1810-1860;Realism;Modern Art
Portrait d'enfant assis avec ses chiens;ALFRED DE DREUX;GBP 18,900;GBP 15,000 - 25,000;oil on canvas;55.7 x 45.8 cm;FRENCH;1810-1860;Realism;Portrait
Full Cry;JOHN FREDERICK HERRING, SEN.;;GBP 30,000 - 50,000;oil on canvas;36 x 81 cm;BRITISH;1795-1865;Realism;Modern Art
An English Landscape;FREDERICK WILLIAM HULME;GBP 2,142;GBP 7,000 - 10,000;oil on canvas laid down on board;58 x 42 cm;BRITISH;1816-1884;Realism;Landscape
Caught on the rocks;RICHARD ANSDELL, R.A.;GBP 2,772;GBP 7,000 - 10,000;oil on canvas;25.5 x 81.5 cm;BRITISH;1815-1885;Realism;Modern Art
An Unwelcome Visitor;RICHARD ANSDELL, R.A.;GBP 6,300;GBP 10,000 - 15,000;oil on canvas, unframed;112.5 x 86.8 cm;BRITISH;1815-1885;Realism;Modern Art
On the waste of Cumberland;WILLIAM JAMES BLACKLOCK;GBP 16,380;GBP 10,000 - 15,000;oil on canvas;33.4 x 56 cm;BRITISH;1816-1858;Realism;Modern Art
Étaples;CHARLES-FRANÇOIS DAUBIGNY;GBP 30,240;GBP 12,000 - 18,000;oil on panel;42 x 81.5 cm;FRENCH;1817-1878;Realism;Modern Art
Souvenir d'Ault;JEAN-BAPTISTE-CAMILLE COROT;GBP 50,400;GBP 30,000 - 50,000;oil on canvas;33.3 x 42.8 cm;FRENCH;1796-1875;Realism;Modern Art
Haymaking;JULIEN DUPRÉ;GBP 12,600;GBP 10,000 - 15,000;oil on canvas;46 x 38 cm;FRENCH;1851-1910;Realism;Modern Art
Étang au crépuscule;THÉODORE ROUSSEAU;GBP 13,860;GBP 8,000 - 12,000;oil on panel;21 x 37 cm;FRENCH;1812-1867;Realism;Modern Art
L'étang, coucher de soleil;THÉODORE ROUSSEAU;GBP 12,600;GBP 10,000 - 15,000;oil on panel;25.1 x 33.5 cm;FRENCH;1812-1867;Realism;Modern Art
Un barrage près d’Ornans, or L’Écluse de la Loue;GUSTAVE COURBET;;GBP 100,000 - 150,000;oil on canvas;59 x 73 cm;FRENCH;1819-1877;Realism;Modern Art
Baigneuses dans une crique boisée;JEAN-BAPTISTE-CAMILLE COROT;GBP 44,100;GBP 40,000 - 60,000;oil on panel;26.4 x 35 cm;FRENCH;1796-1875;Realism;Modern Art
She has lost her way;DANIEL RIDGWAY KNIGHT;;GBP 25,000 - 35,000;oil on canvas;65 x 31.8 cm;AMERICAN;1839-1924;Realism;Modern Art
Portrait of M. Nicolle;GUSTAVE COURBET;;GBP 70,000 - 100,000;oil on canvas;61 x 50 cm;FRENCH;1819-1877;Realism;Portrait
Viburnum Oculus, Roses, Plumbago, Primula Auricula, Hemerocallis, Companula, Chinadoxia and Epiphyllum on a ledge with a Pineapple and a Parrot;FRANZ XAVER PETTER;;GBP 50,000 - 70,000;oil on panel;93.5 x 76.2 cm;AUSTRIAN;1791-1866;Realism;Modern Art
Boats on a canal, moonlight;ANDREAS ACHENBACH;GBP 9,450;GBP 10,000 - 15,000;oil on canvas;78.4 x 95.3 cm;GERMAN;1815-1910;Realism;Modern Art
The flower basket;VITTORIO MATTEO CORCOS;GBP 63,000;GBP 70,000 - 100,000;oil on canvas;96.5 x 54.6 cm;ITALIAN;1859-1933;Realism;Modern Art
Intérieur à Londres;JACQUES-ÉMILE BLANCHE;GBP 17,640;GBP 15,000 - 25,000;oil on canvas;99.5 x 120 cm;FRENCH;1861-1942;Realism;Modern Art
Lady in Black;JACQUES-ÉMILE BLANCHE;;GBP 80,000 - 120,000;oil on canvas;160 x 124.5 cm;FRENCH;1861-1942;Realism;Modern Art
Nudo femminile;GIOVANNI BOLDINI;;GBP 60,000 - 80,000;oil on panel;27 x 34.9 cm;ITALIAN;1842-1931;Realism;Modern Art
Carnations\; and Lady Pirrie Rose;ELEANOR FORTESCUE BRICKDALE, R.W.S.;;GBP 6,000 - 10,000;;37.4 x 26.7 cm;BRITISH;1871-1945;Realism;Modern Art
Un Coin de Jardin;LOUIS WELDEN HAWKINS;GBP 5,670;GBP 10,000 - 20,000;oil on canvas;90.5 x 105 cm;FRENCH;1849-1910;Realism;Modern Art
The Back Garden;WYNFORD DEWHURST, R.B.A.;GBP 10,080;GBP 10,000 - 15,000;oil on canvas;65 x 81 cm;BRITISH;1864-1941;Realism;Modern Art
The Goose Girl;GILBERT BAYES;GBP 1,764;GBP 4,000 - 6,000;25 ¾ in. (65.5 cm.) high, the bronze\; 27 in. (68.5 cm.) high, including the plinth;;BRITISH;1872-1953;Realism;Modern Art
Rejoicing after the rain: Early Summer;SIR GEORGE CLAUSEN, R.A.;;GBP 50,000 - 80,000;oil on canvas;132.5 x 107 cm;BRITISH;1852-1944;Realism;Modern Art
My Lady of the Rocks;DAME LAURA KNIGHT, R.A., R.W.S.;;GBP 300,000 - 500,000;oil on canvas;61 x 91.5 cm;BRITISH;1877-1970;Realism;Modern Art
The Pier Head;STANHOPE ALEXANDER FORBES, R.A.;GBP 201,600;GBP 150,000 - 200,000;oil on canvas;68 x 85 cm;BRITISH;1857-1947;Realism;Modern Art
The rowing boat (recto)\; A cloudy seascape (verso);HENRY SCOTT TUKE, R.A., R.W.S.;;GBP 15,000 - 25,000;oil on panel;21 x 29.2 cm;BRITISH;1858-1929;Realism;Seascape
Portrait of Mabel Choate (1870-1958);SIR JOHN LAVERY, R.A., R.S.A., R.H.A.;GBP 16,380;GBP 10,000 - 15,000;oil on canvas;93.2 x 65.2 cm;IRISH;1856-1941;Realism;Portrait
Mrs Philip Astley, ( née Madeleine Carroll, 1906-1987);PHILIP ALEXIUS DE LÁSZLÓ;GBP 63,000;GBP 50,000 - 80,000;oil on canvas;127.2 x 101.5 cm;BRITISH;1869-1937;Realism;Modern Art
Pauline Gunn (1923 - 2006), The Artist's Daughter;SIR HERBERT JAMES GUNN, R.A.;;GBP 10,000 - 15,000;oil on canvas;76.1 x 63.3 cm;BRITISH;1893-1964;Realism;Modern Art
A South African Street Scene;SIR FRANK BRANGWYN, R.A., R.W.S.;GBP 13,860;GBP 10,000 - 15,000;oil on panel;30.9 x 42.6 cm;BRITISH;1867-1956;Realism;Modern Art
Flooding near Beccles;EDWARD SEAGO;GBP 22,680;GBP 12,000 - 18,000;oil on board;50.8 x 76.2 cm;BRITISH;1910-1974;Realism;Modern Art
Sunset over a Lake;EERO JÄRNEFELT;GBP 88,200;GBP 55,000 - 65,000;;74 x 47 cm;FINNISH;1863- 1937;Realism;Modern Art
Roses in a glass vase;BERTHA WEGMANN;GBP 25,200;GBP 25,000 - 35,000;oil on canvas;54 x 41 cm;DANISH;1847–1926;Realism;Modern Art
Sunlit Breakfast;CARL VILHELM HOLSØE;;GBP 60,000 - 70,000;oil on canvas;73.2 x 68.5 cm;DANISH;1863-1935;Realism;Modern Art
A village in the snow;PEDER MØRK MØNSTED;GBP 11,970;GBP 10,000 - 15,000;oil on canvas;51.7 x 75.3 cm;DANISH;1859-1941;Realism;Modern Art
Sankt Jørgensbjerg;LAURITS ANDERSEN RING;GBP 10,080;GBP 35,000 - 45,000;oil on canvas;52.7 x 76.8 cm;DANISH;1854-1933;Realism;Modern Art
Sunset over L'Elle river, near Quimperlé, France;FRITS THAULOW;GBP 50,400;GBP 45,000 - 55,000;oil on canvas;73.1 x 92.4 cm;NORWEGIAN;1847-1906;Realism;Modern Art
Wooded path by a river;PEDER MØRK MØNSTED;GBP 37,800;GBP 40,000 - 60,000;oil on canvas;114.8 x 82.1 cm;DANISH;1859–1941;Realism;Modern Art
Blick auf Mamolsheim;HANS THOMA;GBP 37,800;GBP 35,000 - 45,000;oil on board;73.7 x 91.4 cm;GERMAN;1839-1924;Realism;Modern Art
Un torrent dans l'Engadine;GUSTAVE DORÉ;;GBP 80,000 - 120,000;oil on canvas;127.6 x 175.3 cm;FRENCH;1832-1883;Realism;Modern Art
The Ortler, Italy;EDWARD HARRISON COMPTON;GBP 10,080;GBP 10,000 - 15,000;oil on canvas, unframed;112.5 x 161 cm;BRITISH;1881-1960;Realism;Modern Art
Le Château de Chillon, Lake Geneva;GUSTAVE COURBET;GBP 100,800;GBP 100,000 - 150,000;oil on canvas;69.2 x 95.7 cm;FRENCH;1819-1877;Realism;Modern Art
Embarquement sur le Môle;FÉLIX ZIEM;;GBP 80,000 - 120,000;oil on canvas;82.1 x 131 cm;FRENCH;1821-1911;Realism;Modern Art
A landscape, possibly Italy;POLYDORE DE BEC;;GBP 30,000 - 50,000;oil on canvas;;FRENCH;1799–1874;Realism;Landscape
View of Mount Athos, Greece;EDWARD LEAR;;GBP 18,000 - 25,000;pencil and oil on artist's board;30.1 x 47 cm;BRITISH;1812-1888;Realism;Modern Art
View over the Bosphorus showing the Fortress of Rumeli Hissar (Rumelihisarı), Constantinople;COUNT AMADEO PREZIOSI;GBP 11,340;GBP 10,000 - 15,000;;32 x 46 cm;MALTESE;1816–1882;Realism;Modern Art
A Bashi-Bazouk Chieftan;JEAN-LÉON GÉRÔME;;GBP 600,000 - 800,000;oil on canvas;60 x 73.3 cm;FRENCH;1824-1904;Realism;Modern Art
