Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
"Die Eltern (The Parents), from Krieg (War)",KÄTHE KOLLWITZ,"USD 1,890","USD 2,000 - 3,000",N/A,349 x 425 mm,Germany,1867-1945,Expressionism,Figurative
Betrothal,PETER KRASNOW,USD 63,USD 500 - 700,N/A,406 x 276 mm,United States,1886-1979,Abstract Expressionism,Abstract
Café No. 2,YASUO KUNIYOSHI,"USD 3,780","USD 2,000 - 3,000",N/A,314 x 250 mm,Japan,1889-1953,Modernism,Figurative
Victorian Mansion,LAWRENCE KUPFERMAN,"USD 1,008",USD 300 - 500,N/A,352 x 324 mm,United States,1909-1982,Abstract Expressionism,Abstract
The Press,PAUL LANDACRE,"USD 18,900","USD 5,000 - 7,000",N/A,212 x 212 mm,United States,1893-1963,Precisionism,Printmaking
Tuonela,PAUL LANDACRE,"USD 2,520","USD 2,000 - 3,000",N/A,260 x 190 mm,United States,1893-1963,Precisionism,Printmaking
Manhattan Canyon,ARMIN LANDECK,"USD 3,780","USD 1,500 - 2,000",N/A,349 x 168 mm,United States,1905-1984,Precisionism,Architectural Prints
Cat's Paw,ARMIN LANDECK,"USD 2,142","USD 1,000 - 1,500",N/A,213 x 175 mm,United States,1905-1984,Precisionism,Architectural Prints
"Dame in Grün (Lady in Green), from Die Schaffenden",OTTO LANGE,"USD 2,268","USD 1,500 - 2,000",N/A,355 x 241 mm,Germany,1879-1944,Expressionism,Figurative
Planets,HELEN LUNDEBERG,"USD 17,640","USD 800 - 1,200",N/A,12 x 9 in,United States,1908-1999,Post-Surrealism,Abstract
Battery (Belles),REGINALD MARSH,"USD 2,394","USD 2,000 - 3,000",N/A,225 x 302 mm,United States,1898-1954,Social Realism,Figurative
Star Burlesk,REGINALD MARSH,"USD 5,292",USD 600 - 800,N/A,299 x 222 mm,United States,1898-1954,Social Realism,Figurative
White Pastures,JOHN STOCKTON DE MARTELLY,"USD 1,638",USD 200 - 300,N/A,254 x 346 mm,United States,1903-1979,Regionalism,Figurative
Bowling Green,CHARLES F. WILLIAM MIELATZ,USD 504,"USD 800 - 1,200",N/A,10 x 7 in,United States,1864-1919,Realism,Urban Scenes
Leaving the Shop,KENNETH HAYES MILLER,USD 504,USD 200 - 300,N/A,197 x 248 mm,United States,1876-1952,Realism,Figurative
The Gate of Venice,THOMAS MORAN,"USD 1,512","USD 1,500 - 2,500",N/A,447 x 787 mm,United States,1837-1926,Hudson River School,Landscape
Shooting Gallery,ANGELO PINTO,USD 882,USD 600 - 800,N/A,168 x 213 mm,United States,1908-1994,Modernism,Abstract
"Pilchard Boats, Cornwall",JOHN EDGAR PLATT,USD 630,USD 300 - 500,N/A,168 x 317 mm,United Kingdom,1886-1967,Modernism,Printmaking
Desolation Valley,AUGUSTA PAYNE BRIGGS RATHBONE,USD 378,USD 150 - 200,N/A,318 x 248 mm,United States,1897-1990,Modernism,Landscape
"Cliché-verre: Hand Drawn, Light Printed",ROBERT RAUSCHENBERG,"USD 3,276","USD 800 - 1,200",N/A,651 x 476 mm,United States,1925-2008,Pop Art,Mixed Media
Japanese Peony,WILLIAM SELTZER RICE,"USD 1,764","USD 800 - 1,200",N/A,260 x 299 mm,United States,1873-1963,Arts and Crafts,Printmaking
Dust Storm,ROBERT RIGGS,"USD 8,820","USD 6,000 - 8,000",N/A,14 x 14 in,United States,1896-1970,Realism,Figurative
Elephant Act,ROBERT RIGGS,"USD 2,016","USD 1,000 - 1,500",N/A,337 x 495 mm,United States,1896-1970,Realism,Figurative
Desnudo de Dolores Olmedo,DIEGO RIVERA,"USD 8,190","USD 4,000 - 6,000",N/A,418 x 240 mm,Mexico,1886-1957,Mexican Muralism,Social Realism
Skyline (Manhattan),ARNOLD RÖNNEBECK,"USD 1,512","USD 1,000 - 1,500",N/A,229 x 352 mm,Germany,1885-1947,Expressionism,Abstract
"Automne, from Grandes eaux-fortes en couleurs",GEORGES ROUAULT,"USD 4,032","USD 4,000 - 6,000",N/A,501 x 651 mm,France,1871-1958,Expressionism,Religious
Lithograph #41 (Visionary City),WILLIAM SAMUEL SCHWARTZ,USD 630,"USD 800 - 1,200",N/A,299 x 305 mm,United States,1896-1977,Modernism,Abstract
Horse Frightened by Lightning,MILLARD OWEN SHEETS,"USD 1,008",USD 500 - 700,N/A,426 x 553 mm,United States,1907-1989,Modernism,Landscape
"Turning Out the Light, from New York City Life",JOHN SLOAN,"USD 2,016","USD 800 - 1,200",N/A,5 x 7 in,United States,1871-1951,Ashcan School,Urban Scene
"The Women's Page, from New York City Life",JOHN SLOAN,"USD 1,134",USD 500 - 700,N/A,127 x 175 mm,United States,1871-1951,Ashcan School,Urban Scene
Gossips,LAWRENCE BEALL SMITH,"USD 1,386","USD 800 - 1,200",N/A,302 x 254 mm,United States,1909-1995,Social Realism,Figurative
White Factory,NILES SPENCER,"USD 10,710","USD 2,000 - 3,000",N/A,267 x 346 mm,United States,1893-1952,Precisionism,Urban Landscape
Forest of Flame,HARRY STERNBERG,"USD 3,024","USD 1,500 - 2,000",N/A,317 x 422 mm,United States,1904-2001,Social Realism,Industrial
The Spirit of the Night,JOHN HENRY BRADLEY STORRS,"USD 22,680","USD 1,000 - 1,500",N/A,165 x 165 mm,United States,1885-1956,Modernism,Sculpture
Voice,GEORGE TOOKER,"USD 2,016","USD 1,200 - 1,800",N/A,279 x 247 mm,United States,1920-2011,Magic Realism,Figurative
Repose (Sleep),GEORGE TOOKER,USD 378,"USD 1,000 - 1,500",N/A,175 x 254 mm,United States,1920-2011,Magic Realism,Figurative
Man with a Drill,CHARLES TURZAK,"USD 9,450","USD 4,000 - 6,000",N/A,308 x 235 mm,United States,1899-1986,Modernism,Woodcuts
End of the Line,DONALD STANLEY VOGEL,USD 378,USD 400 - 600,N/A,222 x 273 mm,United States,1917-2004,Modernism,Abstract
Prayer,MAX WEBER,"USD 3,528","USD 2,000 - 3,000",N/A,228 x 73 mm,United States,1881-1961,Cubism,Abstract
"Bridge Builders, Mackinac Straits",REYNOLD HENRY WEIDENAAR,"USD 1,260","USD 1,000 - 1,500",N/A,324 x 172 mm,Unknown,1915-1985,Unknown,Unknown
Untamed,STOW WENGENROTH,"USD 1,638","USD 1,500 - 2,000",N/A,314 x 460 mm,United States,1906-1978,Realism,Landscape
"Limehouse, from Notes",JAMES MCNEILL WHISTLER,"USD 6,930","USD 2,000 - 3,000",N/A,171 x 263 mm,United States,1834-1903,Tonalism,Portrait and Landscape
Machine No. 2 - Boulder Dam,THEODORE WHITE,"USD 1,386","USD 1,000 - 1,500",N/A,406 x 308 mm,United States,1902-1978,Realism,Figurative
Three Prints by the Artist,GRANT WOOD,"USD 4,032","USD 6,000 - 8,000",watercolor,181 x 248 mm,United States,1891-1942,Regionalism,Rural Scenes
January,GRANT WOOD,"USD 3,780","USD 2,000 - 3,000",N/A,225 x 301 mm,United States,1891-1942,Regionalism,Rural Scenes
The Island,WILLIAM ZORACH,"USD 7,560","USD 2,000 - 3,000",N/A,162 x 222 mm,United States,1887-1966,Modernism,Sculpture
"Le clown, from Jazz",HENRI MATISSE,"USD 8,820","USD 7,000 - 10,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le cirque, from Jazz",HENRI MATISSE,"USD 12,600","USD 7,000 - 10,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Monsieur Loyal, from Jazz",HENRI MATISSE,"USD 4,788","USD 6,000 - 8,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le Cauchemar d l'éléphant blanc, from Jazz",HENRI MATISSE,"USD 9,450","USD 6,000 - 8,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le cheval, l'écuyère et le clown, from Jazz",HENRI MATISSE,"USD 17,640","USD 6,000 - 8,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le loup, from Jazz",HENRI MATISSE,"USD 5,670","USD 6,000 - 8,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le cœur, from Jazz",HENRI MATISSE,"USD 5,670","USD 8,000 - 12,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Icare, from Jazz",HENRI MATISSE,"USD 9,450","USD 10,000 - 15,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Formes, from Jazz",HENRI MATISSE,"USD 5,040","USD 6,000 - 8,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"L'Enterrement de Pierrot, from Jazz",HENRI MATISSE,"USD 8,190","USD 6,000 - 8,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Les codomas, from Jazz",HENRI MATISSE,"USD 6,300","USD 7,000 - 10,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"La nageuse dans l'aquarium, from Jazz",HENRI MATISSE,"USD 9,450","USD 8,000 - 12,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"L'avaleur de sabres, from Jazz",HENRI MATISSE,"USD 7,560","USD 6,000 - 8,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le cow-boy, from Jazz",HENRI MATISSE,"USD 12,600","USD 8,000 - 12,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le lanceur de couteaux, from Jazz",HENRI MATISSE,"USD 5,292","USD 6,000 - 8,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le destin, from Jazz",HENRI MATISSE,"USD 18,900","USD 5,000 - 7,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le lagon, from Jazz",HENRI MATISSE,"USD 4,410","USD 3,000 - 5,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le lagon, from Jazz",HENRI MATISSE,"USD 13,860","USD 8,000 - 12,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le lagon, from Jazz",HENRI MATISSE,"USD 3,024","USD 4,000 - 6,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
"Le tobogan, from Jazz",HENRI MATISSE,"USD 8,820","USD 4,000 - 6,000",N/A,421 x 650 mm,France,1869-1954,Fauvism,Figurative
Écuyère Acrobate,MARC CHAGALL,"USD 4,032","USD 2,000 - 3,000",N/A,489 x 321 mm,France,1887-1985,Surrealism,Figurative
Lithographie pour un Catalogue,MARC CHAGALL,"USD 2,520","USD 1,000 - 2,000",N/A,207 x 300 mm,France,1887-1985,Surrealism,Figurative
Frontispice,MARC CHAGALL,"USD 1,260","USD 1,000 - 2,000",N/A,240 x 180 mm,France,1887-1985,Surrealism,Figurative
Majakovski,MARC CHAGALL,"USD 2,520","USD 2,000 - 4,000",N/A,460 x 325 mm,France,1887-1985,Surrealism,Figurative
Majakovski,MARC CHAGALL,"USD 3,780","USD 2,000 - 4,000",N/A,460 x 327 mm,France,1887-1985,Surrealism,Figurative
Majakovski,MARC CHAGALL,,"USD 800 - 1,200",N/A,479 x 314 mm,France,1887-1985,Surrealism,Figurative
"Couverture, from Chagall Lithographe Tome II",MARC CHAGALL,"USD 2,016","USD 1,000 - 2,000",N/A,330 x 540 mm,France,1887-1985,Surrealism,Figurative
L'Élégie des Alizés - Frontispiece,MARC CHAGALL,"USD 4,032","USD 1,000 - 2,000",N/A,220 x 170 mm,France,1887-1985,Surrealism,Figurative
Bouquet pour Fernand,MARC CHAGALL,"USD 3,024","USD 1,000 - 2,000",N/A,225 x 152 mm,France,1887-1985,Surrealism,Figurative
Bonne Année,MARC CHAGALL,"USD 3,780","USD 3,000 - 5,000",N/A,521 x 403 mm,France,1887-1985,Surrealism,Figurative
Hommage à Elsa Triolet (poster),MARC CHAGALL,USD 882,"USD 700 - 1,000",N/A,450 x 360 mm,France,1887-1985,Surrealism,Figurative
Couple sur fond noir,MARC CHAGALL,"USD 1,890","USD 1,500 - 2,000",N/A,324 x 251 mm,France,1887-1985,Surrealism,Figurative
Le Roi David,MARC CHAGALL,"USD 1,890","USD 1,000 - 2,000",N/A,146 x 105 mm,France,1887-1985,Surrealism,Figurative
Moïse et le Veau d'Or,MARC CHAGALL,"USD 6,930","USD 2,000 - 3,000",N/A,397 x 299 mm,France,1887-1985,Surrealism,Figurative
Le Char d'Élie,MARC CHAGALL,"USD 4,788","USD 2,000 - 3,000",N/A,362 x 279 mm,France,1887-1985,Surrealism,Figurative
La Prière,MARC CHAGALL,"USD 3,276","USD 1,000 - 1,500",N/A,410 x 311 mm,France,1887-1985,Surrealism,Figurative
Nu au Visage double,MARC CHAGALL,"USD 2,520","USD 2,000 - 3,000",N/A,400 x 300 mm,France,1887-1985,Surrealism,Figurative
Monde familier,MARC CHAGALL,"USD 3,276","USD 1,500 - 2,000",N/A,350 x 270 mm,France,1887-1985,Surrealism,Figurative
Fiançailles au Cirque,MARC CHAGALL,"USD 4,788","USD 2,000 - 3,000",N/A,410 x 299 mm,France,1887-1985,Surrealism,Figurative
Hyménée,MARC CHAGALL,"USD 2,772","USD 2,000 - 3,000",N/A,314 x 239 mm,France,1887-1985,Surrealism,Figurative
À l'aube de l'amour,MARC CHAGALL,"USD 2,520","USD 2,000 - 3,000",N/A,311 x 232 mm,France,1887-1985,Surrealism,Figurative
Souvenance d'un Printemps,MARC CHAGALL,"USD 4,032","USD 2,000 - 3,000",N/A,495 x 330 mm,France,1887-1985,Surrealism,Figurative
La Table des Amants,MARC CHAGALL,"USD 4,788","USD 1,500 - 2,000",N/A,470 x 320 mm,France,1887-1985,Surrealism,Figurative
Le Rendez-Vous,MARC CHAGALL,"USD 3,276","USD 1,500 - 2,000",N/A,425 x 315 mm,France,1887-1985,Surrealism,Figurative
Village à l'Âne rouge,MARC CHAGALL,"USD 2,394","USD 1,500 - 2,000",N/A,235 x 311 mm,France,1887-1985,Surrealism,Figurative
Nu au petit Bouquet,MARC CHAGALL,"USD 3,528","USD 1,500 - 2,000",N/A,305 x 230 mm,France,1887-1985,Surrealism,Figurative
Les trois Nus,MARC CHAGALL,"USD 1,890","USD 1,500 - 2,000",N/A,345 x 265 mm,France,1887-1985,Surrealism,Figurative
Show Case,JOSEF ALBERS,"USD 7,560","USD 6,000 - 8,000",N/A,276 x 238 mm,Germany,1888-1976,Abstract,Geometric
"Shrine, from Graphic Tectonic",JOSEF ALBERS,"USD 2,016","USD 2,000 - 3,000",N/A,330 x 314 mm,Germany,1888-1976,Abstract,Geometric
Diamond Chroma Yellow,RICHARD ANUSZKIEWICZ,USD 630,USD 300 - 500,N/A,517 x 394 mm,United States,1930-2020,Op Art,Abstract
Flying Fish,KAREL APPEL,"USD 3,780","USD 3,000 - 5,000",acrylic,838 x 190 mm,Netherlands,1921-2006,CoBrA,Abstract
"Idol, from La Magie Quotidienne",JEAN ARP,"USD 1,764","USD 800 - 1,200",N/A,530 x 368 mm,Unknown,HANS,Dada,Abstract
"Park Avenue Paper Chase, 2014",ALICE AYCOCK,USD 882,"USD 700 - 1,000",N/A,508 x 759 mm,United States,B. 1946,Contemporary,Conceptual
Urbino,WILLIAM H. BAILEY,"USD 1,008","USD 800 - 1,200",N/A,476 x 603 mm,Unknown,1930-2020,Unknown,Unknown
Carolina Blue (Interior),ROMARE BEARDEN,"USD 4,410","USD 5,000 - 7,000",N/A,603 x 451 mm,United States,1911-1988,Collage,Figurative
Two prints by the artist,ROMARE BEARDEN,"USD 2,394","USD 3,000 - 5,000",N/A,733 x 956 mm,United States,1911-1988,Collage,Figurative
Training Quarters,GEORGE WESLEY BELLOWS,,"USD 3,500 - 4,500",N/A,391 x 440 mm,United States,1882-1925,Realism,Figurative
"Scène de famille, from L'Estampe originale",PIERRE BONNARD,"USD 3,276","USD 2,000 - 3,000",N/A,311 x 178 mm,France,1867-1947,Post-Impressionism,Figurative
Two prints by the artist,PIERRE BONNARD,,"USD 2,000 - 3,000",N/A,270 x 337 mm,France,1867-1947,Post-Impressionism,Figurative
Three prints by the artist,PIERRE BONNARD,,"USD 2,000 - 3,000",N/A,330 x 496 mm,France,1867-1947,Post-Impressionism,Figurative
Two prints by the artist,PIERRE BONNARD,,"USD 4,000 - 6,000",N/A,829 x 616 mm,France,1867-1947,Post-Impressionism,Figurative
"Untitled, from Ten from Leo Castelli",LEE BONTECOU,"USD 1,386","USD 2,000 - 3,000",N/A,14 x 13 in,United States,1931-2022,Abstract Expressionism,Sculpture
The Ainu Tree,LOUISE BOURGEOIS,,"USD 3,000 - 5,000",N/A,581 x 381 mm,France,1911-2010,Surrealism,Sculpture
A group of five prints,VARIOUS ARTISTS,USD 504,"USD 2,000 - 3,000",N/A,337 x 264 mm,Unknown,Период не найден,Unknown,Unknown
Maternal Caress,MARY CASSATT,"USD 16,380","USD 3,000 - 5,000",N/A,368 x 270 mm,United States,1844-1926,Impressionism,Portraiture
Sara Wearing Her Bonnet and Coat,MARY CASSATT,,"USD 2,000 - 3,000",N/A,502 x 416 mm,United States,1844-1926,Impressionism,Portraiture
Teddy Boy and Girl,LYNN CHADWICK,"USD 1,260","USD 800 - 1,200",N/A,378 x 231 mm,United Kingdom,1914-2003,Modernism,Sculpture
"Le Songe de Daphnis et les nymphes, from Daphnis et Chloé",MARC CHAGALL,"USD 6,300","USD 2,000 - 3,000",N/A,422 x 320 mm,France,1887-1985,Surrealism,Figurative
"A la Femme, qu’est-il resté?, from Sur la Terre des Dieux",MARC CHAGALL,"USD 8,820","USD 10,000 - 15,000",N/A,18 x 15 in,France,1887-1985,Surrealism,Figurative
Bouquet Multicolore,MARC CHAGALL,"USD 35,280","USD 15,000 - 20,000",N/A,689 x 556 mm,France,1887-1985,Surrealism,Figurative
Carmen,AFTER MARC CHAGALL BY CHARLES SORLIER,,"USD 5,000 - 7,000",N/A,1006 x 654 mm,Unknown,1887-1985,Modernism,Figurative
Alex,CHUCK CLOSE,"USD 10,710","USD 4,000 - 6,000",N/A,591 x 492 mm,United States,1940-2021,Photorealism,Portraiture
Hotel du Nord,JOSEPH CORNELL,"USD 2,520","USD 4,000 - 6,000",N/A,375 x 283 mm,United States,1903-1972,Surrealism,Assemblage
Sparire I,ENZO CUCCHI,USD 504,"USD 1,500 - 2,000",N/A,775 x 2997 mm,Italy,B. 1949,Transavantgarde,Figurative
"Bullet Proof, from Series I",GENE DAVIS,"USD 2,520","USD 2,000 - 3,000",N/A,610 x 765 mm,United States,1920-1985,Color Field,Abstract
Rue de L'Echaudé,STUART DAVIS,"USD 4,410","USD 3,000 - 5,000",N/A,248 x 368 mm,United States,1892-1964,Modernism,Abstract
"Le reflet dans la fontaine, from L'album d'estampes originales de la Gallerie Vollard",MAURICE DENIS,"USD 1,638","USD 2,000 - 3,000",N/A,412 x 251 mm,France,1870-1943,Symbolism,Figurative
"Dorian Gray at Opium Den, from The Picture of Dorian Gray ",JIM DINE,USD 378,USD 600 - 800,N/A,428 x 287 mm,United States,B. 1935,Pop Art,Mixed Media
"Etching, Self Portrait (Ivory)",JIM DINE,USD 504,"USD 1,000 - 1,500",N/A,300 x 707 mm,United States,B. 1935,Pop Art,Mixed Media
Dutch Hearts: two prints,JIM DINE,,"USD 2,000 - 3,000",N/A,425 x 514 mm,United States,B. 1935,Pop Art,Mixed Media
