Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
Theatre Design for Irma's Room in 'The Balcony' by Jean Genet,PAULINE BOTY,"GBP 27,720","GBP 20,000 - 30,000",gouache,31.8 x 45.8 cm,United Kingdom,1938-1966,Pop Art,Portraiture
FOUR,ANTONY DONALDSON,"GBP 18,270","GBP 8,000 - 12,000",N/A,39.5 x 39.5 cm,United Kingdom,B. 1939,Pop Art,Figurative
Head of David Landau,FRANK AUERBACH,,"GBP 80,000 - 120,000",N/A,92.4 x 75.3 cm,Germany,B. 1931,Expressionism,Portraiture
View of Hackney with German Hospital,LEON KOSSOFF,"GBP 119,700","GBP 60,000 - 80,000",gouache,31 x 42 in,United Kingdom,1926-2019,Expressionism,Portraiture
Giallo di Siena head,EMILY YOUNG,"GBP 75,600","GBP 25,000 - 35,000",N/A,N/A,United Kingdom,B. 1951,Modernism,Sculpture
Self-Portrait,CELIA PAUL,"GBP 94,500","GBP 30,000 - 50,000",oil on canvas,107 x 102.4 cm,United Kingdom,B. 1959,Contemporary Realism,Portraiture
Fidelma Asleep,LEON KOSSOFF,,"GBP 120,000 - 180,000",N/A,8 x 25 in,United Kingdom,1926-2019,Expressionism,Portraiture
Maquette II Two Winged Figures,"LYNN CHADWICK, R.A.","GBP 40,320","GBP 25,000 - 35,000",bronze,N/A,United Kingdom,1914-2003,Modernism,Sculpture
Building Site near St Paul's,LEON KOSSOFF,"GBP 100,800","GBP 70,000 - 100,000",N/A,87.5 x 102.2 cm,United Kingdom,1926-2019,Expressionism,Portraiture
"Rock Façade, Petra, Afternoon",DAVID BOMBERG,"GBP 163,800","GBP 60,000 - 80,000",oil on canvas,17 x 21 in,United Kingdom,1890-1957,Vorticism,Abstract
Mytilini,"WILLIAM BROOKER, A.R.A.","GBP 17,640","GBP 5,000 - 8,000",oil on canvas,33 x 36 in,United Kingdom,1918-1983,Modernism,Still Life
Acropolis,"WILLIAM BROOKER, A.R.A.","GBP 12,600","GBP 4,000 - 6,000",oil on canvas,30 x 36 in,United Kingdom,1918-1983,Modernism,Still Life
Rail Embankment - Summer,CHRISTOPHER BRAMHAM,"GBP 20,160","GBP 5,000 - 8,000",oil on canvas,39 x 50 in,United Kingdom,B. 1952,Modernism,Landscape
Figure study III,STEPHEN CONROY,,"GBP 10,000 - 15,000",oil on canvas,183 x 137 cm,United Kingdom,B. 1964,Contemporary Art,Portraiture
Computer Head,"SIR EDUARDO PAOLOZZI, R.A.","GBP 16,380","GBP 8,000 - 12,000",bronze,N/A,United Kingdom,1924-2005,Pop Art,Sculpture
Show,"SIR ANTONY GORMLEY, R.A.",,"GBP 50,000 - 80,000",N/A,237.1 x 134 cm,United Kingdom,B. 1950,Contemporary Art,Sculpture
Ethel,"CRAIGIE AITCHISON, R.A.","GBP 21,420","GBP 4,000 - 6,000",oil on canvas,15.2 x 12.1 cm,United Kingdom,1926-2009,Contemporary Realism,Portraiture
Montecastelli Tree,"CRAIGIE AITCHISON, R.A.","GBP 15,120","GBP 15,000 - 25,000",oil on canvas,34.9 x 30 cm,United Kingdom,1926-2009,Contemporary Realism,Portraiture
The Beatnik,"LAURENCE STEPHEN LOWRY, R.A.",,"GBP 60,000 - 80,000",N/A,10 x 8 in,United Kingdom,1887-1976,Naïve Art,Urban
Woman with Big Hands,"LAURENCE STEPHEN LOWRY, R.A.","GBP 63,000","GBP 50,000 - 70,000",oil on canvas,10 x 8 in,United Kingdom,1887-1976,Naïve Art,Urban
"The Contraviesa, Alpujarra","AUGUSTUS JOHN, O.M., R.A.","GBP 15,120","GBP 8,000 - 12,000",N/A,32.4 x 45.7 cm,United Kingdom,1878-1961,Post-Impressionism,Landscape
Still life with flowers in a jug,"ANNE REDPATH, A.R.A.","GBP 63,000","GBP 60,000 - 80,000",N/A,54.6 x 61 cm,United Kingdom,1895-1965,Expressionism,Still Life
Heavy and Light,WINIFRED NICHOLSON,"GBP 20,160","GBP 18,000 - 25,000",oil on canvas,42.5 x 32.4 cm,United Kingdom,1893-1981,Post-Impressionism,Still Life
South Downs Landscape,IVON HITCHENS,"GBP 17,640","GBP 3,000 - 5,000",N/A,42.5 x 24.8 cm,United Kingdom,1893-1979,Abstract Art,Landscape
Maquette for Unity,"LYNN CHADWICK, R.A.","GBP 35,280","GBP 15,000 - 25,000",bronze,N/A,United Kingdom,1914-2003,Modernism,Sculpture
"The Quay, St Tropez",ROGER FRY,"GBP 107,100","GBP 8,000 - 12,000",N/A,62.3 x 47 cm,United Kingdom,1866-1934,Post-Impressionism,Portraiture
Tramp approaching the Clyde,"LAURENCE STEPHEN LOWRY, R.A.",,"GBP 120,000 - 180,000",oil on canvas,12 x 18 in,United Kingdom,1887-1976,Naïve Art,Urban
"Man, Cat & Boat",ALAN LOWNDES,"GBP 18,900","GBP 15,000 - 25,000",oil on canvas,63 x 76.2 cm,United Kingdom,1921-1978,Naïve Art,Landscape
The Underground,"WILLIAM ROBERTS, R.A.","GBP 32,760","GBP 15,000 - 20,000",N/A,15 x 12 in,United Kingdom,1895-1980,Vorticism,Figurative
Penelope (Mrs K.P. Herron),"EDWARD WADSWORTH, A.R.A.","GBP 7,560","GBP 7,000 - 10,000",N/A,33.3 x 24 cm,United Kingdom,1889-1949,Vorticism,Abstract
The Flower Gatherers,DUNCAN GRANT,"GBP 25,200","GBP 8,000 - 12,000",oil on canvas,78 x 110.5 cm,United Kingdom,1885-1978,Post-Impressionism,Portraiture
Eleven Shallots,ELIOT HODGKIN,"GBP 12,600","GBP 12,000 - 18,000",N/A,8.9 x 31.1 cm,United Kingdom,1905-1987,Realism,Still Life
Ida in a Shawl,"AUGUSTUS JOHN, O.M., R.A.","GBP 44,100","GBP 12,000 - 18,000",N/A,14 x 10 in,United Kingdom,1878-1961,Post-Impressionism,Landscape
Girl arranging her hair in front of a mirror,RODERIC O'CONOR,"GBP 27,720","GBP 25,000 - 35,000",N/A,45.7 x 36.8 cm,Ireland,1860-1940,Post-Impressionism,Landscape
Dorelia standing,"AUGUSTUS JOHN, O.M., C.H.",,"GBP 40,000 - 70,000",N/A,44.2 x 23.5 cm,United Kingdom,1878-1961,Post-Impressionism,Portraiture
"Portrait of Elizabeth Lipczinski with Her Dog, Fanny",DERWENT LEES,"GBP 3,780","GBP 4,000 - 6,000",N/A,46.3 x 30.2 cm,United Kingdom,1884-1931,Post-Impressionism,Landscape
"Dorelia standing, with green head scarf","AUGUSTUS JOHN, O.M., R.A.","GBP 37,800","GBP 35,000 - 55,000",N/A,53.6 x 28.9 cm,United Kingdom,1878-1961,Post-Impressionism,Landscape
High Class Butchers,"CHARLES GINNER, A.R.A.","GBP 30,240","GBP 3,000 - 5,000",N/A,25.2 x 34 cm,United Kingdom,1878-1952,Post-Impressionism,Landscape
Still Life with Fruit,MARK GERTLER,"GBP 18,900","GBP 7,000 - 10,000",oil on canvas,11 x 15 in,United Kingdom,1891-1939,Post-Impressionism,Portraiture
"Provençal Landscape, Cagnes",SIR MATTHEW SMITH,"GBP 35,280","GBP 12,000 - 18,000",oil on canvas,13 x 16 in,United Kingdom,1879-1959,Fauvism,Still Life
Seated Figure on Square Steps,"HENRY MOORE, O.M., C.H.","GBP 176,400","GBP 80,000 - 120,000",bronze,N/A,United Kingdom,1898-1986,Modernism,Sculpture
Study for Group,DAME BARBARA HEPWORTH,,"GBP 60,000 - 80,000",N/A,42.8 x 28.3 cm,United Kingdom,1903-1975,Modernism,Sculpture
Snow on Porthmeor 1947,WILHELMINA BARNS-GRAHAM,,"GBP 20,000 - 30,000",N/A,15 x 18 in,United Kingdom,1912-2004,Abstract Art,Abstract
Godrevy Lighthouse,PETER LANYON,"GBP 50,400","GBP 45,000 - 65,000",N/A,52.1 x 26.6 cm,United Kingdom,1918-1964,Abstract Expressionism,Landscape
Winged Figures,"LYNN CHADWICK, R.A.","GBP 117,180","GBP 60,000 - 80,000",bronze,N/A,United Kingdom,1914-2003,Modernism,Sculpture
"Composition, 1960","SANDRA BLOW, R.A.","GBP 22,680","GBP 18,000 - 25,000",N/A,127 x 102.9 cm,United Kingdom,1925-2006,Abstract Expressionism,Abstract
1978 (still life with blue + stripes),"BEN NICHOLSON, O.M.","GBP 12,600","GBP 10,000 - 15,000",gouache,34.6 x 29.3 cm,United Kingdom,1894-1982,Modernism,Abstract
Dec 1963 (Helmos),"BEN NICHOLSON, O.M.",,"GBP 60,000 - 80,000",N/A,78 x 78 cm,United Kingdom,1894-1982,Modernism,Abstract
Pupitre,KEITH VAUGHAN,"GBP 23,940","GBP 12,000 - 18,000",gouache,6 x 8 in,United Kingdom,1912-1977,Neo-Romanticism,Figurative
Two Piece Reclining Figure: Maquette No. 8,"HENRY MOORE, O.M., C.H.","GBP 27,720","GBP 25,000 - 35,000",bronze,N/A,United Kingdom,1898-1986,Modernism,Sculpture
Wee Boy with a Green Cardigan,"JOAN EARDLEY, R.S.A.","GBP 23,940","GBP 12,000 - 18,000",N/A,28.9 x 22.6 cm,United Kingdom,1921-1963,Expressionism,Landscape
Little Girl and Comic,"JOAN EARDLEY, R.S.A.","GBP 16,380","GBP 10,000 - 15,000",N/A,17.4 x 16.7 cm,United Kingdom,1921-1963,Expressionism,Landscape
Breaking Wave,"JOAN EARDLEY, R.S.A.","GBP 25,200","GBP 25,000 - 35,000",N/A,88.3 x 122 cm,United Kingdom,1921-1963,Expressionism,Landscape
Time/Life Screen: Maquette No. 3,"HENRY MOORE, O.M., C.H.","GBP 15,120","GBP 15,000 - 20,000",bronze,N/A,United Kingdom,1898-1986,Modernism,Sculpture
"Painting, 1964",PRUNELLA CLOUGH,"GBP 11,340","GBP 4,000 - 6,000",oil on canvas,66.2 x 79.2 cm,United Kingdom,1919-1999,Modernism,Urban
Blue Form,"WILLIAM SCOTT, R.A.","GBP 75,600","GBP 40,000 - 60,000",oil on canvas,16 x 20 in,United Kingdom,1913-1989,Abstract Expressionism,Still Life
Red Candle,"SIR FRANK BOWLING, R.A.","GBP 75,600","GBP 70,000 - 100,000",N/A,105.4 x 47 cm,Guyana,B. 1934,Abstract Expressionism,Abstract
Rad Lad III,"LYNN CHADWICK, R.A.","GBP 20,160","GBP 18,000 - 25,000",bronze,N/A,United Kingdom,1914-2003,Modernism,Sculpture
3.2.67,"JOHN HOYLAND, R.A.",,"GBP 50,000 - 80,000",N/A,78 x 144 in,United Kingdom,1934-2011,Abstract Expressionism,Abstract
"Relief Painting in White, Black and Maroon","VICTOR PASMORE, R.A.","GBP 88,200","GBP 70,000 - 100,000",N/A,40 x 40 in,United Kingdom,1908-1998,Abstract Art,Abstract
Figure on a Box,"SIR PETER BLAKE, R.A.",,"GBP 25,000 - 35,000",N/A,N/A,United Kingdom,B. 1932,Pop Art,Portraiture
UH! OH!,"JOE TILSON, R.A.","GBP 30,240","GBP 25,000 - 35,000",N/A,170.5 x 155.2 cm,United Kingdom,1928-2023,Pop Art,Abstract
Ignis Fatuus,JEFFREY STEELE,"GBP 10,080","GBP 5,000 - 8,000",oil on canvas,20 x 15 in,United Kingdom,1931-2021,Geometric Abstraction,Abstract
Blue Shift on Red Field,JOHN PLUMB,"GBP 7,560","GBP 7,000 - 10,000",N/A,72 x 72 in,United Kingdom,1927-2008,Minimalism,Abstract
Panoply,GERALD LAING,,"GBP 70,000 - 100,000",oil on canvas,120.6 x 167.6 cm,United Kingdom,1936-2011,Pop Art,Figurative
Orange Queen,JEREMY MOON,"GBP 16,380","GBP 15,000 - 25,000",N/A,165.7 x 332.2 cm,United Kingdom,1934-1973,Hard-Edge Abstraction,Abstract
Karnak,WILLIAM TUCKER,,"GBP 4,000 - 6,000",N/A,52 x 54 in,United Kingdom,B. 1935,Modernism,Sculpture
Around,PETER SEDGLEY,,"GBP 8,000 - 12,000",N/A,154.3 x 133.3 cm,United Kingdom,B. 1930,Op Art,Abstract
"Mauve, Brown, Green and Ochre","MICHAEL KIDNER, R.A.","GBP 10,710","GBP 12,000 - 18,000",oil on canvas,72 x 66 in,United Kingdom,1917-2009,Op Art,Abstract
Four Hand Reel,"SIR ANTHONY CARO, O.M., R.A.","GBP 30,240","GBP 25,000 - 35,000",bronze,N/A,United Kingdom,1924-2013,Modernism,Sculpture
Painting for Jamaican Independence,ADRIAN HENRI,"GBP 6,300","GBP 6,000 - 8,000",N/A,48 x 36 in,United Kingdom,1932-2000,Pop Art,Abstract
23.11.69,"JOHN HOYLAND, R.A.",,"GBP 20,000 - 30,000",N/A,213.4 x 102.2 cm,United Kingdom,1934-2011,Abstract Expressionism,Abstract
Myrtleandbettyfur,"SIR FRANK BOWLING, R.A.","GBP 13,860","GBP 10,000 - 15,000",N/A,9 x 13 in,Guyana,B. 1934,Abstract Expressionism,Abstract
Complement to Yellow,"MICHAEL KIDNER, R.A.","GBP 10,080","GBP 6,000 - 8,000",oil on canvas,40 x 30 in,United Kingdom,1917-2009,Op Art,Abstract
Our Heritage My Background,"GRAYSON PERRY, R.A.","GBP 60,480","GBP 30,000 - 50,000",N/A,N/A,United Kingdom,B. 1960,Contemporary Art,Ceramics
Tangier,"PATRICK PROCKTOR, R.A.","GBP 16,380","GBP 5,000 - 8,000",oil on canvas,20 x 30 in,United Kingdom,1936-2003,Modernism,Portraiture
Falstaff,"SIR PETER BLAKE, R.A.","GBP 12,600","GBP 5,000 - 8,000",gouache,15.9 x 13 cm,United Kingdom,B. 1932,Pop Art,Portraiture
"The Fulham Road, SW10 (after Bruegel)","R.B. KITAJ, R.A.","GBP 30,240","GBP 30,000 - 50,000",oil on canvas,122.5 x 153 cm,United States,1932-2007,Pop Art,Figurative
Dog,"DAME ELISABETH FRINK, R.A.","GBP 100,800","GBP 50,000 - 80,000",bronze,N/A,United Kingdom,1930-1993,Modernism,Sculpture
Crucifixion I,"CRAIGIE AITCHISON, R.A.","GBP 10,080","GBP 5,000 - 8,000",oil on canvas,6 x 5 in,United Kingdom,1926-2009,Contemporary Realism,Portraiture
Phallic Women,"GRAYSON PERRY, R.A.","GBP 42,840","GBP 20,000 - 30,000",N/A,N/A,United Kingdom,B. 1960,Contemporary Art,Ceramics
Boy Seated and Crucifixion,"CRAIGIE AITCHISON, R.A.",,"GBP 40,000 - 60,000",oil on canvas,68 x 57 in,United Kingdom,1926-2009,Contemporary Realism,Portraiture
Landscape No. 706,JOHN VIRTUE,"GBP 5,292","GBP 6,000 - 8,000",N/A,96 x 96 in,United Kingdom,B. 1947,Contemporary Art,Landscape
Winged Figures I,"LYNN CHADWICK, R.A.","GBP 20,160","GBP 6,000 - 8,000",bronze,N/A,United Kingdom,1914-2003,Modernism,Sculpture
Single Form,DAME BARBARA HEPWORTH,"GBP 81,900","GBP 70,000 - 100,000",bronze,N/A,United Kingdom,1903-1975,Modernism,Sculpture
BLUE CAT UNDER TABLE : 1954,PATRICK HERON,"GBP 100,800","GBP 80,000 - 120,000",N/A,36 x 18 in,United Kingdom,1920-1999,Abstract Expressionism,Abstract
Untitled,"WILLIAM SCOTT, R.A.","GBP 44,100","GBP 30,000 - 50,000",oil on canvas,13 x 16 in,United Kingdom,1913-1989,Abstract Expressionism,Still Life
Nov 61 (octagonal),"BEN NICHOLSON, O.M.","GBP 126,000","GBP 120,000 - 180,000",N/A,90.2 x 115.6 cm,United Kingdom,1894-1982,Modernism,Abstract
Turning form (blue),DAME BARBARA HEPWORTH,"GBP 94,500","GBP 60,000 - 80,000",N/A,50.2 x 32.4 cm,United Kingdom,1903-1970,Modernism,Sculpture
Blue & Red,"SIR TERRY FROST, R.A.","GBP 8,820","GBP 5,000 - 8,000",oil on canvas,18 x 14 in,United Kingdom,1915-2003,Abstract Expressionism,Abstract
SYDNEY : NOVEMBER 16 1989,PATRICK HERON,"GBP 11,340","GBP 10,000 - 15,000",gouache,57.8 x 76.2 cm,United Kingdom,1920-1999,Abstract Expressionism,Abstract
1972 (Aegean),"BEN NICHOLSON, O.M.","GBP 8,820","GBP 4,000 - 6,000",N/A,45.4 x 56.5 cm,United Kingdom,1894-1982,Modernism,Abstract
Rolling Horse,"DAME ELISABETH FRINK, R.A.","GBP 32,760","GBP 30,000 - 50,000",bronze,N/A,United Kingdom,1930-1993,Modernism,Sculpture
The Sunset Belongs to You,"JACK BUTLER YEATS, R.H.A.",,"GBP 120,000 - 180,000",N/A,8 x 18 in,Ireland,1871-1957,Expressionism,Landscape
View from the Window,ANNE ESTELLE RICE,"GBP 17,640","GBP 15,000 - 25,000",oil on canvas,51.4 x 64.7 cm,United States,1877-1959,Fauvism,Portraiture
Mademoiselle O,JOHN DUNCAN FERGUSSON,"GBP 63,000","GBP 50,000 - 80,000",N/A,66 x 57.2 cm,United Kingdom,1874-1961,Fauvism,Portraiture
"Rooftops, South of France",GEORGE LESLIE HUNTER,,"GBP 10,000 - 15,000",oil on canvas,54 x 72 cm,United Kingdom,1877-1931,Fauvism,Still Life
Chrysanthemums and Honesty,"ANNE REDPATH, A.R.A.","GBP 16,380","GBP 15,000 - 25,000",oil on canvas,30 x 30 in,United Kingdom,1895-1965,Expressionism,Still Life
Still Life with Fruit,GEORGE LESLIE HUNTER,"GBP 37,800","GBP 30,000 - 50,000",oil on canvas,20 x 24 in,United Kingdom,1877-1931,Fauvism,Still Life
White Cyclamen,"ANNE REDPATH, A.R.A.","GBP 12,600","GBP 12,000 - 18,000",N/A,51 x 60.3 cm,United Kingdom,1895-1965,Expressionism,Still Life
"Pink Rose, Fruit and Still Life",GEORGE LESLIE HUNTER,"GBP 63,000","GBP 50,000 - 80,000",N/A,27 x 22 in,United Kingdom,1877-1931,Fauvism,Still Life
Flowers in a Jug,CHRISTOPHER WOOD,"GBP 37,800","GBP 30,000 - 50,000",oil on canvas,35 x 25 cm,United Kingdom,1901-1930,Modernism,Landscape
Landscape,WINIFRED NICHOLSON,"GBP 30,240","GBP 30,000 - 50,000",oil on canvas,24 x 24 in,United Kingdom,1893-1981,Post-Impressionism,Still Life
Tortoiseshell Cat and Flowers,"DAME ELIZABETH BLACKADDER, R.A., R.S.A.","GBP 9,450","GBP 3,000 - 5,000",N/A,57.2 x 78.8 cm,United Kingdom,1931-2021,Modernism,Still Life
Carts on a Wasteland,"LAURENCE STEPHEN LOWRY, R.A.","GBP 107,100","GBP 60,000 - 80,000",N/A,12 x 16 in,United Kingdom,1887-1976,Naïve Art,Urban
Clocking on Time,"LAURENCE STEPHEN LOWRY, R.A.","GBP 40,320","GBP 8,000 - 12,000",N/A,24.4 x 27.3 cm,United Kingdom,1887-1976,Naïve Art,Urban
"The Church and Chapel, Going Home on Sunday Evening",HELEN BRADLEY,"GBP 23,940","GBP 15,000 - 25,000",oil on canvas,14 x 21 in,United Kingdom,1900-1979,Naïve Art,Figurative
Beach at Sandsend,"LAURENCE STEPHEN LOWRY, R.A.","GBP 32,760","GBP 12,000 - 18,000",N/A,29.5 x 40 cm,United Kingdom,1887-1976,Naïve Art,Urban
Hetty,"LAURENCE STEPHEN LOWRY, R.A.","GBP 37,800","GBP 15,000 - 25,000",oil on canvas,20 x 16 in,United Kingdom,1887-1976,Naïve Art,Urban
Self Portrait,DAVID BOMBERG,,"GBP 15,000 - 25,000",N/A,24 x 20 in,United Kingdom,1890-1957,Vorticism,Abstract
"Venice, La Salute","WALTER RICHARD SICKERT, A.R.A.","GBP 88,200","GBP 60,000 - 90,000",oil on canvas,55.2 x 46 cm,United Kingdom,1860-1942,Impressionism,Urban
Tangier bay at night,"SIR JOHN LAVERY, R.A., R.S.A., R.H.A.","GBP 35,280","GBP 30,000 - 50,000",oil on canvas,14 x 25 in,Ireland,1856-1941,Post-Impressionism,Portraiture
Pines and Olives,"AUGUSTUS JOHN, O.M., R.A.","GBP 17,640","GBP 15,000 - 25,000",oil on canvas,50.2 x 60.9 cm,United Kingdom,1878-1961,Post-Impressionism,Landscape
"Mount St Hilarion, Cyprus",DAVID BOMBERG,"GBP 88,200","GBP 60,000 - 80,000",oil on canvas,71.1 x 92 cm,United Kingdom,1890-1957,Vorticism,Abstract
Maquette for Seated Torso,"HENRY MOORE, O.M., C.H.","GBP 25,200","GBP 20,000 - 30,000",bronze,N/A,United Kingdom,1898-1986,Modernism,Sculpture
Fir Tree,IVON HITCHENS,"GBP 32,760","GBP 18,000 - 25,000",oil on canvas,22 x 24 in,United Kingdom,1893-1979,Abstract Art,Landscape
The Kitchen Table,"TRISTRAM HILLIER, R.A.","GBP 17,640","GBP 4,000 - 6,000",N/A,19.6 x 28.6 cm,United Kingdom,1905-1983,Surrealism,Landscape
Abstract with Rose (for F.),"EDWARD WADSWORTH, A.R.A.",,"GBP 12,000 - 18,000",N/A,51.5 x 61.5 cm,United Kingdom,1889-1949,Vorticism,Abstract
Study of Roses,"GRAHAM SUTHERLAND, O.M.","GBP 16,380","GBP 4,000 - 6,000",gouache,64.8 x 50.2 cm,United Kingdom,1903-1980,Neo-Romanticism,Landscape
Girl V,"LYNN CHADWICK, R.A.","GBP 16,380","GBP 12,000 - 18,000",bronze,N/A,United Kingdom,1914-2003,Modernism,Sculpture
On the Road to Ypres,"CHRISTOPHER RICHARD WYNNE NEVINSON, A.R.A.","GBP 56,700","GBP 50,000 - 80,000",N/A,11 x 21 cm,United Kingdom,1889-1946,Futurism,War
The Recital,"WILLIAM ROBERTS, R.A.",,"GBP 18,000 - 25,000",N/A,33.6 x 54 cm,United Kingdom,1895-1980,Vorticism,Figurative
Cumbrian Landscape,WINIFRED NICHOLSON,"GBP 27,720","GBP 15,000 - 25,000",oil on canvas,20 x 30 in,United Kingdom,1893-1981,Post-Impressionism,Still Life
"Church and Barn, Waltham St Lawrence","CHARLES GINNER, A.R.A.","GBP 13,860","GBP 8,000 - 12,000",oil on canvas,20 x 27 in,United Kingdom,1878-1952,Post-Impressionism,Landscape
Study for 'Unveiling Cookham War Memorial',"SIR STANLEY SPENCER, R.A.","GBP 94,500","GBP 15,000 - 25,000",N/A,34.9 x 33.6 cm,United Kingdom,1891-1959,Neo-Romanticism,Religious
