Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
Tréguier. Bateau à quai,PAUL SIGNAC,"USD 50,400","USD 25,000 - 35,000",gouache,27.3 x 43.8 cm,France,1863-1935,Pointillism,Seascape
Jeune femme en blanc dans un paysage,PIERRE-AUGUSTE RENOIR,"USD 60,480","USD 25,000 - 35,000",watercolor,20 x 29.8 cm,France,1841-1919,Impressionism,Portrait
Femmes au jardin,ALBERT ANDRE,"USD 10,080","USD 7,000 - 10,000",gouache,29 x 26.2 cm,France,1869-1954,Post-Impressionism,Portrait
Scène de famille,PIERRE BONNARD,"USD 37,800","USD 40,000 - 60,000",gouache,32.2 x 18.9 cm,France,1867-1947,Post-Impressionism,Interior
Femme mettant ses bas,MAXIMILIEN LUCE,"USD 27,720","USD 25,000 - 35,000",N/A,54 x 40.8 cm,France,1858-1941,Neo-Impressionism,Landscape
Danseuse tirant son maillot (La Précaution),EDGAR DEGAS,"USD 478,800","USD 200,000 - 300,000",N/A,20 x 25 cm,France,1834-1917,Impressionism,Figurative
"Head of Julie, Looking Down",MARY CASSATT,"USD 46,620","USD 50,000 - 70,000",N/A,40.6 x 32.4 cm,United States,1844-1926,Impressionism,Portrait
Jeanne Pontillon à la capeline,BERTHE MORISOT,,"USD 180,000 - 250,000",N/A,8 x 12 in,France,1841-1895,Impressionism,Portrait
"Femme nue debout, le genou droit appuyé sur une banquette",EDGAR DEGAS,"USD 81,900","USD 80,000 - 120,000",N/A,65.7 x 47.8 cm,France,1834-1917,Impressionism,Figurative
Femme au chien,LEONARD TSUGUHARU FOUJITA,"USD 69,300","USD 70,000 - 100,000",watercolor,72.7 x 102.8 cm,Japan,1886-1968,Modernism,Portrait
Nu assis,PABLO PICASSO,"USD 277,200","USD 200,000 - 300,000",N/A,37.2 x 27 cm,Spain,1881-1973,Cubism,Abstract
Femme et centaures aux oiseaux,PABLO PICASSO,"USD 50,400","USD 40,000 - 60,000",N/A,50.4 x 66 cm,Spain,1881-1973,Cubism,Abstract
Sitzender weiblicher Akt von vorn,EGON SCHIELE,"USD 214,200","USD 200,000 - 300,000",N/A,46.2 x 29.8 cm,Austria,1890-1918,Expressionism,Figurative
Tête de jeune fille,HENRI MATISSE,"USD 37,800","USD 18,000 - 25,000",N/A,32.5 x 48.8 cm,France,1869-1954,Fauvism,Portrait
Sirène,HENRI MATISSE,"USD 289,800","USD 150,000 - 250,000",N/A,63 x 49.2 cm,France,1869-1954,Fauvism,Portrait
Portrait einer Dame,EMIL NOLDE,"USD 37,800","USD 40,000 - 60,000",watercolor,44.4 x 33.1 cm,Germany,1867-1956,Expressionism,Landscape
Nu assis,BALTHUS,"USD 8,820","USD 8,000 - 12,000",N/A,29.8 x 40 cm,Switzerland,1908-2001,Modern Realism,Portrait
Femme au miroir et enfant,PABLO PICASSO,,"USD 150,000 - 250,000",N/A,49.7 x 61 cm,Spain,1881-1973,Cubism,Abstract
L'Offrande,MARC CHAGALL,"USD 151,200","USD 120,000 - 180,000",N/A,8 x 18 in,Belarus,1887-1985,Surrealism,Religious Art
Senza titolo,MARINO MARINI,"USD 17,640","USD 20,000 - 30,000",collage,50.3 x 38 cm,Italy,1901-1980,Modernism,Sculpture
Cavallo e cavaliere,MARINO MARINI,,"USD 25,000 - 35,000",collage,50 x 38.2 cm,Italy,1901-1980,Modernism,Sculpture
Tête,JOAN MIRO,,"USD 150,000 - 250,000",N/A,55 x 39 cm,Spain,1893-1983,Surrealism,Abstract
Ariane,JACQUES LIPCHITZ,"USD 21,420","USD 8,000 - 12,000",gouache,60.9 x 50.3 cm,Lithuania,1891-1973,Cubism,Sculpture
Drawing for Seated Sculpture: Four Views,HENRY MOORE,"USD 63,000","USD 30,000 - 50,000",gouache,43.5 x 34.2 cm,United Kingdom,1898-1986,Modernism,Sculpture
"Soldats dans un abri, Argonne",FERNAND LEGER,"USD 22,680","USD 25,000 - 35,000",N/A,8 x 6 in,France,1881-1955,Cubism,Abstract
Maquette pour couverture d’un livre,FERNAND LEGER,"USD 13,860","USD 10,000 - 15,000",gouache,30.5 x 18.6 cm,France,1881-1955,Cubism,Abstract
Colombe de la Paix,PABLO PICASSO,"USD 37,800","USD 20,000 - 30,000",N/A,36.5 x 25.9 cm,Spain,1881-1973,Cubism,Abstract
Homme et femme nus,PABLO PICASSO,"USD 189,000","USD 120,000 - 180,000",N/A,50.6 x 65.3 cm,Spain,1881-1973,Cubism,Abstract
"Tête de Georges Bataille, projet pour ""Histoire de Rats (Journal de Dianus)"" de Georges Bataille",ALBERTO GIACOMETTI,"USD 56,700","USD 25,000 - 35,000",N/A,21.9 x 16.7 cm,Switzerland,1901-1966,Modernism,Sculpture
"Bildnis (Junger Mann, Kopf)",EGON SCHIELE,"USD 390,600","USD 100,000 - 150,000",N/A,17 x 11 in,Austria,1890-1918,Expressionism,Figurative
Strassenkehrer,LYONEL FEININGER,"USD 75,600","USD 12,000 - 18,000",watercolor,23.7 x 31.3 cm,Germany,1871-1956,Cubism,Cityscape
"Grill-Oyster Bar, New York",GEORGE GROSZ,"USD 16,380","USD 10,000 - 15,000",N/A,17 x 22 in,Germany,1893-1959,Expressionism,Satirical
"""Glorious Day""",LYONEL FEININGER,"USD 20,160","USD 12,000 - 18,000",watercolor,31.8 x 48.6 cm,Germany,1871-1956,Cubism,Cityscape
Marschlandschaft mit Abendwolken,EMIL NOLDE,"USD 119,700","USD 60,000 - 80,000",watercolor,34 x 47.1 cm,Germany,1867-1956,Expressionism,Landscape
Dampfer mit Rauchwolke,EMIL NOLDE,"USD 13,860","USD 6,000 - 8,000",N/A,28.5 x 36.2 cm,Germany,1867-1956,Expressionism,Landscape
Niedergrunstedt IV,LYONEL FEININGER,"USD 12,600","USD 15,000 - 20,000",N/A,23.8 x 29.5 cm,Germany,1871-1956,Cubism,Cityscape
Jeremiah,EMIL NOLDE,,"USD 30,000 - 50,000",watercolor,41 x 30 cm,Germany,1867-1956,Expressionism,Landscape
Paris. Le Pont des Arts,PAUL SIGNAC,"USD 40,320","USD 18,000 - 25,000",gouache,28 x 47.6 cm,France,1863-1935,Pointillism,Seascape
The Promenade,CHILDE HASSAM,"USD 17,640","USD 20,000 - 30,000",N/A,29.2 x 40.6 cm,United States,1859-1935,American Impressionism,Landscape
"Au café-concert, deux chanteuses",EDGAR DEGAS,,"USD 150,000 - 250,000",N/A,8 x 18 in,France,1834-1917,Impressionism,Figurative
L'Homme au chapeau melon,EDOUARD VUILLARD,,"USD 30,000 - 50,000",watercolor,8 x 8 in,France,1868-1940,Post-Impressionism,Interior
Jeune paysanne,BERTHE MORISOT,"USD 25,200","USD 30,000 - 50,000",N/A,42.5 x 32 cm,France,1841-1895,Impressionism,Portrait
Modiste garnissant un chapeau,EDGAR DEGAS,"USD 63,000","USD 80,000 - 120,000",N/A,43.5 x 26.8 cm,France,1834-1917,Impressionism,Figurative
"Bougival, les Grand Boulevards",PIERRE-AUGUSTE RENOIR,,"USD 200,000 - 300,000",N/A,61 x 46.3 cm,France,1841-1919,Impressionism,Portrait
Grand Salon aux Clayes,EDOUARD VUILLARD,"USD 100,800","USD 60,000 - 80,000",N/A,68 x 67 cm,France,1868-1940,Post-Impressionism,Interior
Omnibus,HONORE DAUMIER,"USD 12,600","USD 20,000 - 30,000",N/A,27.7 x 37 cm,France,1808-1879,Realism,Satirical
Une grand'maman,HONORE DAUMIER,"USD 22,680","USD 15,000 - 20,000",N/A,8 x 12 in,France,1808-1879,Realism,Satirical
Femme à la porte,EDOUARD VUILLARD,"USD 22,680","USD 25,000 - 35,000",N/A,8 x 7 in,France,1868-1940,Post-Impressionism,Interior
Nu de dos,BERTHE MORISOT,"USD 20,160","USD 6,000 - 8,000",N/A,56 x 42.6 cm,France,1841-1895,Impressionism,Portrait
Etude de nu (Femme assise),EDGAR DEGAS,"USD 100,800","USD 60,000 - 80,000",N/A,50.5 x 41.6 cm,France,1834-1917,Impressionism,Figurative
Nu penché vers la droite,ARISTIDE MAILLOL,"USD 13,860","USD 6,000 - 8,000",N/A,30 x 23.3 cm,France,1861-1944,Classicism,Sculpture
Têtes de fillettes,PIERRE-AUGUSTE RENOIR,"USD 47,880","USD 15,000 - 20,000",N/A,48.3 x 63 cm,France,1841-1919,Impressionism,Portrait
Figure Studies and Design for a Ceiling Decoration,FERDINAND-VICTOR-EUGENE DELACROIX,"USD 6,930","USD 3,000 - 5,000",N/A,19 x 28.3 cm,France,1798-1863,Romanticism,Historical
Paysage,CAMILLE PISSARRO,"USD 40,320","USD 8,000 - 12,000",N/A,30.1 x 46.3 cm,France,1830-1903,Impressionism,Landscape
Saint-Tropez. Les Voiles,PAUL SIGNAC,"USD 35,280","USD 10,000 - 15,000",watercolor,24.9 x 17.3 cm,France,1863-1935,Pointillism,Seascape
La Corrida,JEAN DUFY,"USD 25,200","USD 20,000 - 30,000",gouache,45 x 59.5 cm,France,1888-1964,Modernism,Cityscape
Paysage,MAURICE DE VLAMINCK,"USD 20,160","USD 18,000 - 25,000",gouache,46 x 55.7 cm,France,1876-1958,Fauvism,Landscape
Village et barques,BERNARD BUFFET,"USD 39,060","USD 20,000 - 30,000",watercolor,50 x 64.4 cm,France,1928-1999,Expressionism,Still Life
Alte Gasse,LYONEL FEININGER,"USD 47,880","USD 7,000 - 10,000",watercolor,22.1 x 29 cm,Germany,1871-1956,Cubism,Cityscape
"Cape Cod, Massachusetts",MANE-KATZ,"USD 7,560","USD 1,000 - 2,000",gouache,49.8 x 64.6 cm,Ukraine,1894-1962,Expressionism,Religious Art
"Possendorf ""Hidden Village""",LYONEL FEININGER,"USD 18,900","USD 6,000 - 8,000",watercolor,24 x 31.5 cm,Germany,1871-1956,Cubism,Cityscape
Plage près de Saint-Cast,BERNARD BUFFET,"USD 25,200","USD 15,000 - 20,000",watercolor,49.6 x 65.2 cm,France,1928-1999,Expressionism,Still Life
Le Moulin-Rouge,JEAN DUFY,"USD 40,320","USD 20,000 - 30,000",gouache,18 x 25 in,France,1888-1964,Modernism,Cityscape
Buste de femme,MARIE LAURENCIN,"USD 31,500","USD 7,000 - 10,000",watercolor,30.5 x 25.5 cm,France,1883-1956,Cubism,Portrait
Paysage avec maison,MAURICE DE VLAMINCK,"USD 10,080","USD 8,000 - 12,000",gouache,43.2 x 53 cm,France,1876-1958,Fauvism,Landscape
Promenade près du Bois de Boulogne,JEAN DUFY,"USD 56,700","USD 18,000 - 25,000",gouache,46.2 x 61.8 cm,France,1888-1964,Modernism,Cityscape
Bouquet de fleurs,JEAN DUFY,"USD 20,160","USD 8,000 - 12,000",gouache,60 x 46.3 cm,France,1888-1964,Modernism,Cityscape
