Название,Имя художника,Стоимость,Примерная оценка,Материал,Размер,Страна,Период,Стиль,Жанр
Vue de la Grande Place du Vieux Marché du Coté de l'Eglise de la Sainte Croix et la Rue de la Porte neuve ('Der Altmarkt zu Dresden'),BERNARDO BELLOTTO,"USD 9,450","USD 4,000 - 6,000",N/A,542 x 843 mm,Italy,1721-1780,Engraving,Engraving
Wooded Landscape with two Country Carts and Figures,THOMAS GAINSBOROUGH,"USD 8,190","USD 5,000 - 7,000",N/A,293 x 390 mm,England,1727-1788,Engraving,Engraving
"Y aun no se van. (And still they don't go.), Plate 59 from: Los Caprichos",FRANCISCO DE GOYA Y LUCIENTES,"USD 27,720","USD 15,000 - 25,000",N/A,216 x 154 mm,Spain,1746-1828,Engraving,Engraving
"Dibersión de España (Spanish Entertainment), from: The Bulls of Bordeaux",FRANCISCO DE GOYA Y LUCIENTES,"USD 81,900","USD 80,000 - 120,000",N/A,301 x 412 mm,Spain,1746-1828,Engraving,Engraving
Le ventre législatif (The Legislative Belly),HONORÉ DAUMIER,"USD 13,860","USD 5,000 - 7,000",N/A,11 x 17 in,France,1808-1879,Engraving,Engraving
Le petit pont,CHARLES MERYON,"USD 13,860","USD 7,000 - 10,000",N/A,264 x 193 mm,France,1821-1868,Engraving,Engraving
Le bon samaritain ('Abd-el Kader secourant un chrétien'),RODOLPHE BRESDIN,"USD 35,280","USD 8,000 - 12,000",N/A,568 x 443 mm,France,1822-1885,Engraving,Engraving
Portrait d'Edmond de Goncourt,FÉLIX BRACQUEMOND,"USD 13,860","USD 7,000 - 10,000",N/A,553 x 395 mm,France,1833-1914,Engraving,Engraving
Le liseur,ODILON REDON,"USD 23,940","USD 8,000 - 12,000",N/A,315 x 236 mm,France,1840-1916,Engraving,Engraving
Les courses à Longchamps (The Races),ÉDOUARD MANET,"USD 69,300","USD 20,000 - 30,000",N/A,401 x 515 mm,France,1832-1883,Engraving,Engraving
Mlle Bécat aux Ambassadeurs,EDGAR DEGAS,"USD 50,400","USD 25,000 - 35,000",N/A,208 x 195 mm,France,1834-1917,Engraving,Engraving
"Paysage sous bois, à l'Hermitage (Pontoise) (Woodlands at the Hermitage)",CAMILLE PISSARRO,"USD 27,720","USD 15,000 - 20,000",N/A,220 x 270 mm,France,1830-1903,Engraving,Engraving
Le bain (The Bath),FÉLIX VALLOTTON,"USD 44,100","USD 30,000 - 50,000",N/A,181 x 226 mm,Switzerland,1865-1925,Engraving,Engraving
La paresse (Laziness),FÉLIX VALLOTTON,"USD 50,400","USD 40,000 - 60,000",N/A,178 x 222 mm,Switzerland,1865-1925,Engraving,Engraving
La petite blanchisseuse,PIERRE BONNARD,"USD 15,120","USD 12,000 - 18,000",N/A,292 x 200 mm,France,1867-1947,Engraving,Engraving
"Maison dans la cour, from Quelques aspects de la vie de Paris",PIERRE BONNARD,"USD 5,670","USD 6,000 - 8,000",N/A,343 x 257 mm,France,1867-1947,Engraving,Engraving
"La Clownesse assise (Mademoiselle Cha-u-ka-o), from Elles",HENRI DE TOULOUSE-LAUTREC,"USD 151,200","USD 80,000 - 120,000",N/A,521 x 403 mm,France,1864-1901,Engraving,Engraving
"Femme au tub - Le tub, from Elles",HENRI DE TOULOUSE-LAUTREC,"USD 23,940","USD 15,000 - 25,000",N/A,397 x 521 mm,France,1864-1901,Engraving,Engraving
Das kranke Kind (The Sick Child),EDVARD MUNCH,"USD 119,700","USD 50,000 - 70,000",N/A,358 x 267 mm,Norway,1863-1944,Engraving,Engraving
The Brooch. Eva Mudocci,EDVARD MUNCH,"USD 226,800","USD 100,000 - 150,000",N/A,597 x 464 mm,Norway,1863-1944,Engraving,Engraving
Les cartes ou La réussite,JACQUES VILLON,"USD 75,600","USD 60,000 - 80,000",N/A,347 x 448 mm,France,1875-1963,Engraving,Engraving
Brustbild einer Arbeiterfrau mit blauem Tuch (Bust of a Worker Woman with Blue Shawl ),KÄTHE KOLLWITZ,"USD 40,320","USD 20,000 - 30,000",N/A,340 x 257 mm,Germany,1867-1945,Engraving,Engraving
Le grand bois,HENRI MATISSE,"USD 25,200","USD 20,000 - 30,000",N/A,475 x 380 mm,France,1869-1954,Engraving,Engraving
Fränzi liegend (Fränzi reclining),ERICH HECKEL,,"USD 100,000 - 150,000",N/A,230 x 416 mm,Germany,1883-1970,Engraving,Engraving
Liegendes Mädchen (Reclining Girl),KARL SCHMIDT-ROTTLUFF,"USD 13,860","USD 5,000 - 7,000",N/A,272 x 335 mm,Germany,1884-1976,Engraving,Engraving
Tänzerin,EMIL NOLDE,"USD 138,600","USD 120,000 - 180,000",N/A,537 x 692 mm,Germany,1867-1956,Engraving,Engraving
Prophet,EMIL NOLDE,"USD 18,900","USD 7,000 - 10,000",N/A,320 x 226 mm,Germany,1867-1956,Engraving,Engraving
Fischdampfer (Fishing Steamer),EMIL NOLDE,"USD 15,120","USD 10,000 - 15,000",N/A,292 x 394 mm,Germany,1867-1956,Engraving,Engraving
"Dampfer (groß, dunkel) (Steamship [Large, Dark])",EMIL NOLDE,,"USD 10,000 - 15,000",N/A,8 x 16 in,Germany,1867-1956,Engraving,Engraving
Fox,GEORGES BRAQUE,"USD 32,760","USD 8,000 - 12,000",N/A,543 x 378 mm,France,1882-1963,Engraving,Engraving
Yvonne D. de profil,JACQUES VILLON,"USD 27,720","USD 18,000 - 25,000",N/A,8 x 16 in,France,1875-1963,Engraving,Engraving
Gelmeroda VII,LYONEL FEININGER,"USD 7,560","USD 6,000 - 8,000",N/A,404 x 334 mm,United States / Germany,1871-1956,Engraving,Engraving
Kopf Ludwig Schames (Head of Ludwig Schames),ERNST LUDWIG KIRCHNER,"USD 17,640","USD 12,000 - 18,000",N/A,578 x 257 mm,Germany,1880-1938,Engraving,Engraving
Selbstbildnis mit steifem Hut (Self-Portrait in Bowler Hat),MAX BECKMANN,"USD 32,760","USD 20,000 - 30,000",N/A,314 x 239 mm,Germany,1884-1950,Engraving,Engraving
"Gruppenbildnis Edenbar (Group Portrait, Eden Bar)",MAX BECKMANN,,"USD 20,000 - 30,000",N/A,492 x 495 mm,Germany,1884-1950,Engraving,Engraving
Sitzender Harlekin (Sitting Harlequin),HEINRICH CAMPENDONK,"USD 10,080","USD 8,000 - 12,000",watercolor,377 x 290 mm,Unknown,1889-1957,Engraving,Engraving
Selbstbildnis mit Grimasse (Self-Portrait with Grimace),MARC CHAGALL,,"USD 10,000 - 15,000",N/A,362 x 264 mm,Belarus / France,1887-1985,Engraving,Engraving
Rechnender Greis (Old Man calculating),PAUL KLEE,"USD 25,200","USD 12,000 - 18,000",N/A,299 x 235 mm,Switzerland / Germany,1879-1940,Engraving,Engraving
L'éveil du géant,JOAN MIRÓ,"USD 20,160","USD 15,000 - 20,000",N/A,270 x 239 mm,Spain,1893-1983,Engraving,Engraving
La géante,JOAN MIRÓ,"USD 23,940","USD 18,000 - 25,000",N/A,350 x 239 mm,Spain,1893-1983,Engraving,Engraving
One Plate from: Série noire et rouge,JOAN MIRÓ,"USD 28,980","USD 20,000 - 30,000",N/A,170 x 260 mm,Spain,1893-1983,Engraving,Engraving
One Plate from: Série noire et rouge,JOAN MIRÓ,"USD 30,240","USD 20,000 - 30,000",N/A,170 x 260 mm,Spain,1893-1983,Engraving,Engraving
Françoise sur fond gris,PABLO PICASSO,"USD 277,200","USD 80,000 - 120,000",N/A,626 x 470 mm,Spain,1881-1973,Engraving,Engraving
Nature morte au verre sous la lampe,PABLO PICASSO,"USD 239,400","USD 150,000 - 200,000",N/A,526 x 636 mm,Spain,1881-1973,Engraving,Engraving
Red and White Petunia,BLANCHE LAZZELL,"USD 30,240","USD 8,000 - 12,000",N/A,12 x 14 in,United States,1878-1956,Engraving,Engraving
The Skyrocket,BROR JULIUS OLSSON NORDFELDT,"USD 20,160","USD 8,000 - 12,000",N/A,219 x 285 mm,United States,1878-1955,Engraving,Engraving
A Spring Day (Mother and Child),BROR JULIUS OLSSON NORDFELDT,"USD 47,880","USD 15,000 - 25,000",N/A,8 x 11 in,United States,1878-1955,Engraving,Engraving
Lady with a Fan and Sunflowers,ETHEL MARS,"USD 10,710","USD 5,000 - 7,000",N/A,250 x 267 mm,United States,1876-1959,Engraving,Engraving
West Virginia Hills,BLANCHE LAZZELL,"USD 90,720","USD 12,000 - 18,000",N/A,12 x 12 in,United States,1878-1956,Engraving,Engraving
Austerity,FRANCES H. GEARHART,"USD 7,560","USD 6,000 - 8,000",N/A,8 x 11 in,United States,1869-1958,Engraving,Engraving
April,GUSTAVE BAUMANN,"USD 7,560","USD 8,000 - 12,000",N/A,8 x 13 in,United States,1881-1971,Engraving,Engraving
Artist Working,MABEL HEWIT,"USD 6,048","USD 2,500 - 3,500",N/A,308 x 276 mm,United States,1903-1984,Engraving,Engraving
Eight Bells,WINSLOW HOMER,"USD 128,520","USD 50,000 - 70,000",N/A,487 x 625 mm,United States,1836-1910,Engraving,Engraving
Perils of the Sea,WINSLOW HOMER,"USD 52,920","USD 40,000 - 60,000",N/A,420 x 550 mm,United States,1836-1910,Engraving,Engraving
A Voice from the Cliffs,WINSLOW HOMER,"USD 113,400","USD 40,000 - 60,000",N/A,580 x 825 mm,United States,1836-1910,Engraving,Engraving
"Fly Fishing, Saranac Lake",WINSLOW HOMER,"USD 81,900","USD 40,000 - 60,000",N/A,440 x 572 mm,United States,1836-1910,Engraving,Engraving
"Nocturne, from First Venice Set",JAMES ABBOTT MCNEILL WHISTLER,"USD 119,700","USD 50,000 - 70,000",N/A,200 x 292 mm,United States / United Kingdom,1834-1903,Engraving,Engraving
"The Two Doorways, from First Venice Set",JAMES ABBOTT MCNEILL WHISTLER,"USD 32,760","USD 12,000 - 18,000",N/A,202 x 291 mm,United States / United Kingdom,1834-1903,Engraving,Engraving
"Draped Figure, reclining",JAMES ABBOTT MCNEILL WHISTLER,"USD 50,400","USD 40,000 - 60,000",N/A,204 x 310 mm,United States / United Kingdom,1834-1903,Engraving,Engraving
Evening on the Pier No. 3,MAURICE BRAZIL PRENDERGAST,"USD 81,900","USD 40,000 - 60,000",N/A,8 x 8 in,United States,1858-1924,Engraving,Engraving
Study of a Young Man (seated),JOHN SINGER SARGENT,"USD 40,320","USD 10,000 - 15,000",N/A,292 x 218 mm,United States,1856-1925,Engraving,Engraving
The White Kimono,CHILDE HASSAM,"USD 16,380","USD 6,000 - 8,000",N/A,191 x 279 mm,United States,1859-1935,Engraving,Engraving
A Stag at Sharkey's,GEORGE WESLEY BELLOWS,"USD 214,200","USD 60,000 - 80,000",N/A,473 x 606 mm,United States,1882-1925,Engraving,Engraving
Going West,THOMAS HART BENTON,"USD 32,760","USD 15,000 - 20,000",N/A,308 x 591 mm,United States,1889-1975,Engraving,Engraving
"Huck Finn, from The Missouri State Capitol Mural Series",THOMAS HART BENTON,"USD 15,120","USD 6,000 - 8,000",N/A,419 x 549 mm,United States,1889-1975,Engraving,Engraving
John Brown,JOHN STEUART CURRY,"USD 2,772","USD 3,000 - 5,000",N/A,375 x 279 mm,United States,1897-1946,Engraving,Engraving
Emiliano Zapata,DIEGO RIVERA,"USD 32,760","USD 20,000 - 30,000",N/A,411 x 335 mm,Mexico,1886-1957,Engraving,Engraving
Sharecropper,ELIZABETH CATLETT,"USD 52,920","USD 8,000 - 12,000",N/A,450 x 419 mm,United States,1915-2012,Engraving,Engraving
Sharecropper,ELIZABETH CATLETT,"USD 35,280","USD 8,000 - 12,000",N/A,110 x 152 mm,United States,1915-2012,Engraving,Engraving
"Night Shadows, from Six American Etchings (Series I)",EDWARD HOPPER,"USD 100,800","USD 20,000 - 30,000",N/A,178 x 210 mm,United States,1882-1967,Engraving,Engraving
Evening Wind,EDWARD HOPPER,"USD 113,400","USD 20,000 - 30,000",N/A,175 x 210 mm,United States,1882-1967,Engraving,Engraving
Night on the El Train,EDWARD HOPPER,"USD 378,000","USD 150,000 - 200,000",N/A,190 x 202 mm,United States,1882-1967,Engraving,Engraving
American Landscape,EDWARD HOPPER,"USD 81,900","USD 50,000 - 70,000",N/A,184 x 311 mm,United States,1882-1967,Engraving,Engraving
The Cat Boat,EDWARD HOPPER,"USD 144,900","USD 40,000 - 60,000",N/A,197 x 248 mm,United States,1882-1967,Engraving,Engraving
Night in the Park,EDWARD HOPPER,"USD 113,400","USD 50,000 - 70,000",N/A,200 x 206 mm,United States,1882-1967,Engraving,Engraving
East Side Interior,EDWARD HOPPER,"USD 37,800","USD 15,000 - 20,000",N/A,8 x 10 in,United States,1882-1967,Engraving,Engraving
The Lonely House,EDWARD HOPPER,"USD 214,200","USD 150,000 - 200,000",N/A,200 x 250 mm,United States,1882-1967,Engraving,Engraving
Glow of the City,MARTIN LEWIS,"USD 52,920","USD 20,000 - 30,000",N/A,286 x 362 mm,United States,1881-1962,Engraving,Engraving
Rain on Murray Hill,MARTIN LEWIS,"USD 10,080","USD 8,000 - 12,000",N/A,200 x 303 mm,United States,1881-1962,Engraving,Engraving
Shadow Dance,MARTIN LEWIS,"USD 50,400","USD 20,000 - 30,000",N/A,239 x 273 mm,United States,1881-1962,Engraving,Engraving
Tattoo - Shave - Haircut,REGINALD MARSH,"USD 21,420","USD 15,000 - 20,000",N/A,248 x 248 mm,United States,1898-1954,Engraving,Engraving
Woolworth Building (The Dance),JOHN MARIN,"USD 57,960","USD 20,000 - 30,000",N/A,325 x 265 mm,United States,1870-1953,Engraving,Engraving
"Brooklyn Bridge, No. 6 (Swaying)",JOHN MARIN,"USD 8,820","USD 7,000 - 10,000",N/A,272 x 222 mm,United States,1870-1953,Engraving,Engraving
Arrangement - New York,JAN MATULKA,"USD 30,240","USD 20,000 - 30,000",N/A,415 x 320 mm,United States,1890-1972,Engraving,Engraving
New York,LOUIS LOZOWICK,"USD 60,480","USD 40,000 - 60,000",N/A,8 x 9 in,United States,1892-1973,Engraving,Engraving
Brooklyn Bridge,LOUIS LOZOWICK,"USD 11,340","USD 5,000 - 7,000",N/A,330 x 200 mm,United States,1892-1973,Engraving,Engraving
Manhattan Gateway,STOW WENGENROTH,"USD 17,640","USD 6,000 - 8,000",N/A,8 x 18 in,United States,1906-1978,Engraving,Engraving
Skyscraper,HOWARD COOK,"USD 4,032","USD 4,000 - 6,000",N/A,454 x 222 mm,United States,1901-1980,Engraving,Engraving
Man's Canyons,SAMUEL MARGOLIES,"USD 6,930","USD 7,000 - 10,000",N/A,301 x 225 mm,United States,1897-1974,Engraving,Engraving
Traffic Control,BENTON M. SPRUANCE,"USD 52,920","USD 25,000 - 35,000",N/A,229 x 365 mm,United States,1904-1967,Engraving,Engraving
"The People Work - Morning, Noon, Evening, Night",BENTON M. SPRUANCE,"USD 56,700","USD 25,000 - 35,000",N/A,8 x 19 in,United States,1904-1967,Engraving,Engraving
Bowery Nocturne,RAPHAEL SOYER,"USD 13,860","USD 5,000 - 7,000",N/A,324 x 454 mm,United States,1899-1987,Engraving,Engraving
"Bread Line, New York",CLARE LEIGHTON,"USD 13,860","USD 5,000 - 7,000",N/A,12 x 8 in,England,1898-1989,Engraving,Engraving
Barber Shop Chord,STUART DAVIS,"USD 60,480","USD 20,000 - 30,000",N/A,355 x 480 mm,United States,1892-1964,Engraving,Engraving
Sixth Avenue El,STUART DAVIS,"USD 60,480","USD 20,000 - 30,000",N/A,302 x 455 mm,United States,1892-1964,Engraving,Engraving
Arrangement for Drums,BENTON M. SPRUANCE,"USD 18,900","USD 7,000 - 10,000",N/A,241 x 375 mm,United States,1904-1967,Engraving,Engraving
Mannikin,ARSHILE GORKY,"USD 40,320","USD 10,000 - 15,000",N/A,368 x 286 mm,Armenia / United States,1904-1948,Engraving,Engraving
Barn Abstraction,CHARLES SHEELER,"USD 163,800","USD 70,000 - 100,000",N/A,210 x 467 mm,United States,1883-1965,Engraving,Engraving
Roses,CHARLES SHEELER,"USD 8,820","USD 5,000 - 7,000",N/A,403 x 286 mm,United States,1883-1965,Engraving,Engraving
Yachts,CHARLES SHEELER,"USD 22,680","USD 6,000 - 8,000",N/A,220 x 268 mm,United States,1883-1965,Engraving,Engraving
Delmonico Building,CHARLES SHEELER,"USD 17,640","USD 8,000 - 12,000",N/A,248 x 171 mm,United States,1883-1965,Engraving,Engraving
Industrial Series #1,CHARLES SHEELER,"USD 44,100","USD 30,000 - 50,000",N/A,208 x 283 mm,United States,1883-1965,Engraving,Engraving
